TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
malI,malI,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor MalI,DNA-binding transcriptional dual regulator Nac","crp,malI,nac",b1620,ECK1615,malIp
yaiA-aroM,"aroM,yaiA",,,"b0390,b0389","ECK0385,ECK0384",yaiAp
yjdF,yjdF,,,b4121,ECK4114,
cbrA,cbrA,DNA-binding transcriptional regulator CreB-phosphorylated,creB,b3690,ECK3682,
ybgA-phr,"phr,ybgA",DNA-binding transcriptional dual regulator Lrp,lrp,"b0708,b0707","ECK0697,ECK0696",ybgAp1
valS,valS,,,b4258,ECK4251,valSp1
yfGM,yfgM,,,b2513,ECK2509,yfgMp3
cvrA,cvrA,,,b1191,ECK1179,
essD-ybcS-rzpD,"rzpD,rrrD,essD",,,"b0556,b0555,b0554","ECK0547,ECK0546,ECK0545",essDp
yidR,yidR,,,b3689,ECK3681,
yaeR,yaeR,,,b0187,ECK0186,
rlmN,rlmN,,,b2517,ECK2513,
tynA,tynA,DNA-binding transcriptional activator FeaR,feaR,b1386,ECK1383,tynAp
atoDAEB,"atoB,atoD,atoA,atoE","DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional activator AtoC-phosphorylated","ihfA,ihfB,atoC","b2224,b2221,b2222,b2223","ECK2217,ECK2214,ECK2215,ECK2216",atoDp
atpBEFHAGDC,"atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB",DNA-binding transcriptional dual regulator Lrp,lrp,"b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738","ECK3724,ECK3725,ECK3726,ECK3727,ECK3728,ECK3729,ECK3730,ECK3731",atpBp1
bioP,bioP,,,b3827,ECK3821,
uspF,uspF,DNA-binding transcriptional dual regulator YeiE,yeiE,b1376,ECK1371,uspFp
argW,argW,DNA-binding transcriptional dual regulator Fis,fis,b2348,ECK2342,argWp
yraL,rsmI,,,b3146,ECK3134,
rfbACX,"rfbX,rfbC,rfbA",DNA-binding transcriptional dual regulator Nac,nac,"b2037,b2038,b2039","ECK2031,ECK2032,ECK2033",rfbAp
gshA,gshA,,,b2688,ECK2683,
yffO-yffP,"yffP,yffO",,,"b2447,b2446","ECK2442,ECK2441",yffOp
gcvA,gcvA,"DNA-binding transcriptional dual regulator GcvA,DNA-binding transcriptional repressor GlaR","gcvA,glaR",b2808,ECK2803,gcvAp
cysG,cysG,,,b3368,ECK3356,cysGp2
dnaB,dnaB,,,b4052,ECK4044,dnaBp
iraM,iraM,"DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","phoP,fnr,arcA",b1160,ECK1147,iraMp1
ychQA-kdsA,"kdsA,ychA,ychQ","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR","b1215,b1214,b1213","ECK1203,ECK1202,ECK1201",ychQp
yhhA,yhhA,DNA-binding transcriptional dual regulator Lrp,lrp,b3448,ECK3432,
pykF,pykF,,,b1676,ECK1672,pykFp1
yffS,yffS,DNA-binding transcriptional dual regulator FNR,fnr,b2450,ECK2445,
htrG-cca,"cca,ygiM",DNA-binding transcriptional dual regulator Nac,nac,"b3056,b3055","ECK3046,ECK3045",ygiMp2
appCBA-yccB,"appX,appC,appB,appA","DNA-binding transcriptional dual regulator YdeO,DLP12 prophage; DNA-binding transcriptional activator AppY,DNA-binding transcriptional dual regulator ArcA-phosphorylated","ydeO,appY,arcA","b4592,b0978,b0979,b0980","ECK4402,ECK0969,ECK0970,ECK0971",appCp
yacL,yacL,DNA-binding transcriptional dual regulator Lrp,lrp,b0119,ECK0118,yacLp
yfaATSQP,"yfaA,yfaT,yfaS,yfaQ,yfaP",DNA-binding transcriptional dual regulator Lrp,lrp,"b2230,b2229,b4500,b2226,b2225","ECK2222,ECK2221,ECK2220,ECK2219,ECK2218",
agrA,agrA,,,b4712,ECK4569,agrAp
yieP-hsrA,"yieP,hsrA",DNA-binding transcriptional dual regulator Nac,nac,"b3755,b3754","ECK3749,ECK3748",
proS,proS,,,b0194,ECK0194,proSp
pyrLBI,"pyrL,pyrI,pyrB","ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","argR,lrp,nac","b4246,b4244,b4245","ECK4241,ECK4239,ECK4240",pyrLp2
abgABT-ogt,"abgA,abgB,abgT,ogt",DNA-binding transcriptional dual regulator Nac,nac,"b1338,b1337,b1336,b1335","ECK1334,ECK1333,ECK1332,ECK1331",
nrdG,nrdG,DNA-binding transcriptional dual regulator Nac,nac,b4237,ECK4232,nrdGp
ynjH,ynjH,"DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","lrp,nac,glaR",b1760,ECK1758,ynjHp1
msrB,msrB,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fnr,arcA",b1778,ECK1776,msrBp6
yfjU,yfjU,,,b2638,ECK2634,
yicR-rpmBG,"rpmG,rpmB,yicR",DNA-binding transcriptional dual regulator YfeC,yfeC,"b3636,b3637,b3638","ECK3626,ECK3627,ECK3628",yicRp
proP,proP,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","crp,lrp",b4111,ECK4104,proPp1
ldtC,ldtC,DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,b1113,ECK1099,ldtCp
murB-birA,"birA,murB",,,"b3973,b3972","ECK3965,ECK3964",
ybhA,ybhA,,,b0766,ECK0755,
fimAICDFGH,"fimD,fimH,fimG,fimF,fimC,fimI,fimA","Phosphorylated DNA-binding transcriptional activator QseB,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator H-NS,DNA binding transcriptional dual regulator BolA-phosphorylated,DNA-binding transcriptional dual regulator Lrp","qseB,ihfA,ihfB,hns,bolA,lrp","b4317,b4320,b4319,b4318,b4316,b4315,b4314","ECK4308,ECK4311,ECK4310,ECK4309,ECK4307,ECK4306,ECK4305",fimAp
yfeO,yfeO,,,b2389,ECK2385,
dctA,dctA,"DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator DcuR-phosphorylated","arcA,crp,dcuR",b3528,ECK3513,dctAp
ilvIH,"ilvI,ilvH","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp","hns,lrp","b0077,b0078","ECK0079,ECK0080",ilvIHp1
insA1B1AB1,"insA1,insB1,insAB1",,,"b0022,b0021","ECK0023,ECK0022",
yeiP,yeiP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b2171,ECK2165,yeiPp
yfeCD,"yfeD,yfeC",DNA-binding transcriptional dual regulator YfeC,yfeC,"b2399,b2398","ECK2393,ECK2392",yfeCp
yidE,yidE,,,b3685,ECK3677,
lacI,lacI,,,b0345,ECK0342,lacIp
dcuB-fumB,"fumB,dcuB","DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated","narL,fnr,crp,arcA","b4122,b4123","ECK4115,ECK4116",dcuBp1
ycjD,ycjD,,,b1289,ECK1284,
nfuA,nfuA,,,b3414,ECK3401,nfuAp2
yjiC,yjiC,DNA-binding transcriptional dual regulator Lrp,lrp,b4325,ECK4316,
mdoGH,"opgH,opgG",,,"b1049,b1048","ECK1035,ECK1034",opgGp2
yfiL,yfiL,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR",b2602,ECK2599,
osmF-yehYXW,"yehW,yehX,yehY,osmF",,,"b2128,b2129,b2130,b2131","ECK2121,ECK2122,ECK2123,ECK2124",osmFp1
aldB,aldB,"DNA-binding transcriptional dual regulator Fis,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fis,crp",b3588,ECK3577,aldBp
ymdA,ymdA,,,b1044,ECK1030,ymdAp
frvABXR,"frvA,frvB,frvX,frvR",,,"b3900,b3899,b3898,b3897","ECK3893,ECK3892,ECK3891,ECK3890",
yahN,yahN,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b0328,ECK0326,
sdhCDAB-sucABCD-sdhX,"sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD","DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Nac","fnr,crp,arcA,fur,cpxR,nac","b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729","ECK4621,ECK0710,ECK0711,ECK0712,ECK0713,ECK0714,ECK0715,ECK0716,ECK0717",sdhCp
yfdC,yfdC,DNA-binding transcriptional repressor GlaR,glaR,b2347,ECK2341,
yibA,yibA,,,b3594,ECK3583,yibAp
ssb,ssb,"DNA-binding transcriptional repressor LexA,DNA-binding transcriptional dual regulator ArcA-phosphorylated","lexA,arcA",b4059,ECK4051,ssbp3
rsmG,rsmG,,,b3740,ECK3733,
mlrA,mlrA,DNA-binding transcriptional regulator FliZ,fliZ,b2127,ECK2119,mlrAp
alaS,alaS,"AlaS-L-alanine DNA-binding transcriptional repressor,DNA-binding transcriptional dual regulator Lrp","alaS,lrp",b2697,ECK2692,alaSp
yicC,yicC,,,b3644,ECK3634,yicCp
purU,purU,,,b1232,ECK1227,purUp
tsx,tsx,"DNA-binding transcriptional repressor CytR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","cytR,crp",b0411,ECK0405,tsxp2
yiiU,zapB,,,b3928,ECK3920,
chaC,chaC,DNA-binding transcriptional dual regulator Rob,rob,b1218,ECK1212,chaCp
yfhR,yfhR,,,b2534,ECK2531,
cbpAM,"cbpM,cbpA",DNA-binding transcriptional dual regulator H-NS,hns,"b0999,b1000","ECK0990,ECK0991",cbpAp2
glgCAP,"glgP,glgA,glgC","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","crp,lrp","b3428,b3429,b3430","ECK3414,ECK3415,ECK3416",glgCp1
uidR,uidR,DNA-binding transcriptional repressor UidR,uidR,b1618,ECK1613,uidRp
yihF,yihF,,,b3861,ECK3853,
gfcE-etp-etk,"gfcE,etp,etk",,,"b0983,b0982,b0981","ECK0974,ECK0973,ECK0972",
serW,serW,,,b0883,ECK0874,serWp2
tqsA,tqsA,,,b1601,ECK1596,tqsAp
mreCD,"mreD,mreC",DNA-binding transcriptional dual regulator Nac,nac,"b3249,b3250","ECK3237,ECK3238",mreCp
yfbU-hxpA,"yfbU,hxpA",DNA-binding transcriptional repressor GlaR,glaR,"b2294,b2293","ECK2288,ECK2287",yfbUp
csrA,csrA,,,b2696,ECK2691,csrAp5
ompC,ompC,"DNA-binding transcriptional repressor YjjQ,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional activator EnvY,DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated","yjjQ,ihfA,ihfB,lrp,envY,ompR,cpxR",b2215,ECK2207,ompCp1
btuB-murI,"murI,btuB",DNA-binding transcriptional dual regulator GadX,gadX,"b3967,b3966","ECK3959,ECK3958",btuBp
yegW,yegW,,,b2101,ECK2094,yegWp
ycgH,ycgH,,,b4491,ECK1157,
yiaWV,"yiaW,yiaV",,,"b3587,b3586","ECK3576,ECK3575",
wecH,wecH,DNA-binding transcriptional dual regulator Nac,nac,b3561,ECK3550,
uspA,uspA,DNA-binding transcriptional dual regulator Nac,nac,b3495,ECK3480,uspAp3
narQ,narQ,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b2469,ECK2464,narQp
shoB,shoB,DNA-binding transcriptional dual regulator Nac,nac,b4687,ECK4502,shoBp
gltA,gltA,"DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Nac","arcA,crp,ihfA,ihfB,nac",b0720,ECK0709,gltAp1
pstB-phoU,"phoU,pstB",,,"b3724,b3725","ECK3717,ECK3718",pstBp1
elaB,elaB,"DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator OxyR","rob,oxyR",b2266,ECK2260,elaBp
gapA,gapA,DNA-binding transcriptional dual regulator Cra,cra,b1779,ECK1777,gapAp4
yifL-dapF-yigA-xerC-yigB,"yigB,xerC,yigA,dapF,yifL",,,"b3812,b3811,b3810,b3809,b4558","ECK3807,ECK3806,ECK3805,ECK3804,ECK3803",yifLp
ycaR-kdsB,"kdsB,ycaR",,,"b0918,b0917","ECK0909,ECK0908",ycaRp
lysT-valT-lysW,"lysT,valT,lysW",DNA-binding transcriptional dual regulator Fis,fis,"b0743,b0744,b0745","ECK0732,ECK0733,ECK0734",lysTp
ybjX,ybjX,"DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac",b0877,ECK0868,ybjXp
cadA,cadA,DNA-binding transcriptional dual regulator SoxS,soxS,b4131,ECK4125,cadAp
ilvY,ilvY,DNA-binding transcriptional dual regulator IlvY,ilvY,b3773,ECK3765,ilvYp1
bamA,bamA,,,b0177,ECK0176,bamAp1
yeeY,yeeY,,,b2015,ECK2009,
menBCE,"menE,menC,menB",,,"b2260,b2261,b2262","ECK2254,ECK2255,ECK2256",
yhjE,yhjE,"DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","arcA,nac,lrp",b3523,ECK3508,
ymfH-xisE-intE,"ymfH,xisE,intE",,,"b1142,b1141,b1140","ECK1128,ECK1127,ECK1126",
gltA,gltA,DNA-binding transcriptional dual regulator Nac,nac,b0720,ECK0709,gltAp2
yhaJ,yhaJ,DNA-binding transcriptional activator YhaJ,yhaJ,b3105,ECK3096,
prpBCDE,"prpE,prpD,prpC,prpB","DNA-binding transcriptional dual regulator Cra,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate","cra,crp,prpR","b0335,b0334,b0333,b0331","ECK0332,ECK0331,ECK0330,ECK0329",prpBp
murR,murR,DNA-binding transcriptional dual regulator MurR,murR,b2427,ECK2422,murRp
lacZYA,"lacA,lacY,lacZ",CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,"b0342,b0343,b0344","ECK0339,ECK0340,ECK0341",lacZp2
glnB,glnB,DNA-binding transcriptional repressor PurR-hypoxanthine,purR,b2553,ECK2550,glnBp2
ybjO-rlmC,"rlmC,ybjO",,,"b0859,b0858","ECK0850,ECK0849",
rsuA,rsuA,,,b2183,ECK2177,
rdlA,rdlA,,,b4420,ECK1205,
yieH,yieH,DNA-binding transcriptional dual regulator Nac,nac,b3715,ECK3708,
deoCABD,"deoC,deoA,deoB,deoD","DNA-binding transcriptional repressor DeoR,DNA-binding transcriptional dual regulator Lrp","deoR,lrp","b4381,b4382,b4383,b4384","ECK4373,ECK4374,ECK4375,ECK4376",deoCp1
ompC,ompC,DNA-binding transcriptional dual regulator Lrp,lrp,b2215,ECK2207,ompCp2
yeeJ,yeeJ,,,b1978,ECK1974,
rdgB-yggW,"hemW,rdgB",,,"b2955,b2954","ECK2950,ECK2949",rdgBp
rhsB,rhsB,,,b3482,ECK3466,
gadC,gadC,"DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator H-NS","torR,hns",b1492,ECK1486,
yjaZ,yjaZ,,,b3989,ECK3980,yjaZp
rpmBG-mutM,"mutM,rpmG,rpmB","RNA polymerase sigma factor RpoN,DNA-binding transcriptional dual regulator YfeC","rpoN,yfeC","b3635,b3636,b3637","ECK3625,ECK3626,ECK3627",rpmBp
insJ,insJ,,,b3557,ECK3545,
grxB,grxB,,,b1064,ECK1049,grxBp
ryhB,ryhB,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,fur,b4451,ECK3426,yhhXp5
ybaK,ybaK,,,b0481,ECK0475,
osmE,osmE,"DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator IHF","fis,ihfA,ihfB",b1739,ECK1737,osmEp2
torI,torI,DNA-binding transcriptional dual regulator Nac,nac,b4501,ECK2359,
ybiX,ybiX,DNA-binding transcriptional dual regulator YieP,yieP,b0804,ECK0793,
alkB,alkB,,,b2212,ECK2204,alkBp
xapAB,"xapB,xapA",XapR-xanthosine DNA-binding transcriptional activator,xapR,"b2406,b2407","ECK2400,ECK2401",xapAp2
sanA-yeiS,"yeiS,sanA",,,"b2145,b2144","ECK2138,ECK2137",
appY,appY,"DNA-binding transcriptional dual regulator DpiA-phosphorylated,DNA-binding transcriptional dual regulator H-NS","dpiA,hns",b0564,ECK0556,appYp1
yicL,yicL,,,b3660,ECK3650,
aceBAK,"aceB,aceA,aceK","DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,IclR-pyruvate DNA-binding transcriptional repressor,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","arcA,crp,iclR,ihfA,ihfB,cra,nac,lrp","b4014,b4015,b4016","ECK4006,ECK4007,ECK4008",aceBp
emrRAB,"mprA,emrA,emrB",DNA-binding transcriptional repressor MprA,mprA,"b2684,b2685,b2686","ECK2678,ECK2679,ECK2680",mprAp
dcyD-tcyLN,"dcyD,tcyL,tcyN",DNA-binding transcriptional dual regulator Nac,nac,"b1919,b1918,b1917","ECK1918,ECK1917,ECK1916",dcyDp
phoPQ,"phoQ,phoP",,,"b1129,b1130","ECK1115,ECK1116",phoPp3
hslO,hslO,,,b3401,ECK3388,
sra,sra,"DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator IHF","ompR,fis,ihfA,ihfB",b1480,ECK1474,srap
pflB,pflB,DNA-binding transcriptional dual regulator YeiE,yeiE,b0903,ECK0894,pflBp4
rsmA-apaGH,"apaH,apaG,rsmA",,,"b0049,b0050,b0051","ECK0050,ECK0051,ECK0052",rsmAp
insH-2,insH2,,,b0552,ECK0261,
wrbA-yccJ,"wrbA,yccJ","DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional dual regulator Nac","csgD,nac","b1004,b1003","ECK0995,ECK0994",wrbAp
copA,copA,DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>,cueR,b0484,ECK0478,copAp
yadD,rpnC,,,b0132,ECK0131,
dnaN-recF,"recF,dnaN",,,"b3700,b3701","ECK3692,ECK3693",dnaNp6
rpnB,rpnB,,,b2305,ECK2299,
zitB,zitB,DNA-binding transcriptional dual regulator Lrp,lrp,b0752,ECK0741,
purL,purL,DNA-binding transcriptional repressor PurR-hypoxanthine,purR,b2557,ECK2555,purLp
murQP,"murP,murQ","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator MurR","crp,murR","b2429,b2428","ECK2424,ECK2423",murQp
mrp,mrp,,,b2113,ECK2106,mrpp
ybfHG,ybfG,,,b0691,ECK0678,ybfHp
trmL,trmL,,,b3606,ECK3596,
yjjB-dnaTC-yjjA,"yjjA,dnaC,dnaT,yjjB",,,"b4360,b4361,b4362,b4363","ECK4350,ECK4351,ECK4352,ECK4353",yjjBp
rpoS,rpoS,"antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator GadX,DNA-binding transcriptional dual regulator TorR-phosphorylated","mqsA,fur,arcA,crp,gadX,torR",b2741,ECK2736,rpoSp
yebE,yebE,DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,b1846,ECK1847,yebEp
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL","ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor GlaR","argR,lrp,glaR","b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083","ECK0097,ECK0096,ECK0095,ECK0094,ECK0093,ECK0092,ECK0091,ECK0090,ECK0089,ECK0088,ECK0087,ECK0086,ECK0085,ECK0084",ftsLp1
yhdN-zntR,"yhdN,zntR",DNA-binding transcriptional dual regulator Lrp,lrp,"b3293,b3292","ECK3280,ECK3279",yhdNp
yrbG-kdsDC-lptCAB,"lptB,lptA,lptC,kdsC,kdsD,yrbG",,,"b3201,b3200,b3199,b3198,b3197,b3196","ECK3190,ECK3189,ECK3188,ECK3187,ECK3186,ECK3185",yrbGp
thrS-infC,"infC,thrS","DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator Nac","nsrR,nac","b1718,b1719","ECK1716,ECK1717",thrSp
plsX-fabHDG,"fabG,fabD,fabH,plsX",,,"b1093,b1092,b1091,b1090","ECK1079,ECK1078,ECK1077,ECK1076",plsXp
diaA,diaA,,,b3149,ECK3137,
ycbZ,ycbZ,,,b0955,ECK0946,
gyrB,gyrB,DNA-binding transcriptional dual regulator Fis,fis,b3699,ECK3691,gyrBp
chiX,chiX,,,b4585,ECK4396,chiXp
cfa,cfa,DNA-binding transcriptional dual regulator Nac,nac,b1661,ECK1657,cfap
metA,metA,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,metJ,b4013,ECK4005,metAp1
chiQ,chiQ,,,b0682,ECK0670,
yegL-pphC,"yegL,pphC",DNA-binding transcriptional dual regulator Nac,nac,"b2073,b2072","ECK2067,ECK2066",
dnaN-recF,"recF,dnaN",,,"b3700,b3701","ECK3692,ECK3693",dnaNp5
tag-yiaC,"yiaC,tag",,,"b3550,b3549","ECK3537,ECK3536",
bssS,bssS,"DNA-binding transcriptional activator YhaJ,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","yhaJ,lrp,nac,glaR",b1060,ECK1045,bssSp1
icd,icd,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Nac","cra,ihfA,ihfB,nac",b1136,ECK1122,icdAp2
ivy,ivy,DNA-binding transcriptional dual regulator Nac,nac,b0220,ECK0221,
eno,eno,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Lrp","cra,lrp",b2779,ECK2773,enop1
cbl,cbl,"CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional dual regulator Lrp","cysB,glnG,lrp",b1987,ECK1982,cblp
cbrBC,"cbrC,cbrB",DNA-binding transcriptional dual regulator Nac,nac,"b3717,b3716","ECK3710,ECK3709",
nanR,nanR,,,b3226,ECK3215,
csrC,csrC,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator UvrY-phosphorylated","crp,uvrY",b4457,ECK3858,csrCp
rpsMKD-rpoA-rplQ,"rplQ,rpoA,rpsD,rpsK,rpsM",,,"b3294,b3295,b3296,b3297,b3298","ECK3281,ECK3282,ECK3283,ECK3284,ECK3285",rpsMp2
serS,serS,DNA-binding transcriptional dual regulator Lrp,lrp,b0893,ECK0884,serSp
holC,holC,,,b4259,ECK4252,
ribC,ribC,,,b1662,ECK1658,
mhpABCDFE,"mhpF,mhpE,mhpD,mhpC,mhpB,mhpA","DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","mhpR,crp","b0351,b0352,b0350,b0349,b0348,b0347","ECK0348,ECK0349,ECK0347,ECK0346,ECK0345,ECK0344",mhpAp
galETKM,"galM,galK,galT,galE","DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator GalS,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","galR,hupA,hupB,hns,galS,crp","b0756,b0757,b0758,b0759","ECK0745,ECK0746,ECK0747,ECK0748",galEp1
pfkA,pfkA,DNA-binding transcriptional dual regulator Cra,cra,b3916,ECK3908,pfkAp
yeeRST-cbeA-cbtA-yeeW,"yeeW,cbtA,cbeA,yeeT,yeeS,yeeR",,,"b2006,b2005,b2004,b2003,b2002,b2001","ECK1999,ECK1998,ECK1997,ECK1996,ECK1995,ECK1994",
lipA,lipA,DNA-binding transcriptional dual regulator Lrp,lrp,b0628,ECK0621,lipAp
prlC-yhiQ,"prlC,rsmJ",,,"b3498,b3497","ECK3483,ECK3482",prlCp
groSL,"groL,groS","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac","b4143,b4142","ECK4137,ECK4136",groSp2
ibpAB,"ibpB,ibpA","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac","b3686,b3687","ECK3678,ECK3679",ibpAp
ydhP,ydhP,,,b1657,ECK1653,
ileS-lspA-fkpB-ispH,"ispH,fkpB,lspA,ileS",,,"b0029,b0028,b0027,b0026","ECK0030,ECK0029,ECK0028,ECK0027",ileSp1
micC,micC,DNA-binding transcriptional dual regulator Nac,nac,b4427,ECK1373,micCp
sdsR-pphA,"sdsR,pphA",,,"b4433,b1838","ECK1839,ECK1837",pphAp
nimT,nimT,DNA-binding transcriptional repressor NimR,nimR,b1791,ECK1789,nimTp
dcuB-fumB,"fumB,dcuB","DNA-binding transcriptional activator DcuR-phosphorylated,DNA-binding transcriptional dual regulator ArcA-phosphorylated","dcuR,arcA","b4122,b4123","ECK4115,ECK4116",dcuBp2
ubiUV,"ubiV,ubiU",DNA-binding transcriptional dual regulator Nac,nac,"b3159,b3158","ECK3147,ECK3146",
iaaA-gsiABCD,"gsiD,gsiC,gsiB,gsiA,iaaA",DNA-binding transcriptional dual regulator Nac,nac,"b0832,b0831,b0830,b0829,b0828","ECK0822,ECK0821,ECK0820,ECK0819,ECK0818",iaaAp
rfbBDACX,"rfbX,rfbC,rfbA,rfbD,rfbB","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR","b2037,b2038,b2039,b2040,b2041","ECK2031,ECK2032,ECK2033,ECK2034,ECK2035",
pepE,pepE,,,b4021,ECK4013,
yeiL,yeiL,,,b2163,ECK2156,
aroG,aroG,"DNA-binding transcriptional repressor TyrR-L-phenylalanine,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","tyrR,cpxR,lrp",b0754,ECK0743,aroGp
gabDTP,"gabP,gabT,gabD",DNA-binding transcriptional dual regulator Nac,nac,"b2663,b2662,b2661","ECK2657,ECK2656,ECK2655",gabDp1
yedRJ,"drpB,yedJ",,,"b1963,b1962","ECK1961,ECK1960",
