Gene,Bnb,Left,Right,Product,ECKnb,Synonyms,Object ID,Activated,Activated_Bnb,Inhibited,Inhibited_Bnb
loiP,b2936,3081913,3082671,metalloprotease LoiP,ECK2931,"loiP,yggG,b2936,ECK2931",EG11291,,,,
yjiC,b4325,4555490,4556320,DUF2686 domain-containing protein YjiC,ECK4316,"yjiC,b4325,ECK4316",G7922,,,,
emtA,b1193,1243180,1243791,lytic murein transglycosylase E,ECK1181,"emtA,ycgP,mltE,sltZ,b1193,ECK1181",G6622,,,,
pagP,b0622,656557,657117,Lipid A palmitoyltransferase,ECK0615,"pagP,ybeG,crcA,b0622,ECK0615",EG12180,,,,
barA,b2786,2915057,2917813,"BarA-<i>N</i>-phospho-L-histidine-861,BarA-<i>N</i>-phospho-L-histidine-302,BarA-phospho-L-aspartate-718,sensor histidine kinase BarA",ECK2780,"barA,airS,b2786,ECK2780",EG11367,,,,
yiiX,b3937,4127286,4127894,putative lipid-binding hydrolase YiiX,ECK3929,"yiiX,b3937,ECK3929",EG11882,,,,
yhfL,b3369,3499448,3499615,DUF4223 domain-containing lipoprotein YhfL,ECK3357,"yhfL,b3369,ECK3357",G7722,,,,
mutT,b0099,111044,111433,8-oxo-dGTP diphosphatase,ECK0100,"mutT,nudA,b0099,ECK0100",EG10626,,,,
mltF,b2558,2695801,2697357,membrane-bound lytic murein transglycosylase F,ECK2556,"mltF,yfhD,b2558,ECK2556",EG11373,,,,
ydcI,b1422,1494148,1495071,DNA-binding transcriptional dual regulator YdcI,ECK1416,"ydcI,b1422,ECK1416",G6737,"iraP,smrB,isrC,flu","b0382,b2331,b4435,b2000",,
acrZ,b0762,794773,794922,multidrug efflux pump accessory protein AcrZ,ECK0751,"acrZ,ybhT,b0762,ECK0751",G6396,,,,
yqiB,b3033,3176858,3177280,DUF1249 domain-containing protein YqiB,ECK3024,"yqiB,yzzH,b3033,ECK3024",G7580,,,,
degP,b0161,180884,182308,periplasmic serine endoprotease DegP,ECK0160,"degP,htrA,ptd,b0161,ECK0160",EG10463,,,,
wbbI,b2034,2105065,2106057,"&beta;-1,6-galactofuranosyltransferase WbbI",ECK2028,"wbbI,yefG,b2034,ECK2028",EG11983,,,,
tatA,b3836,4021945,4022214,twin arginine protein translocation system - TatA protein,ECK3830,"tatA,yigT,mttA1,b3836,ECK3830",G7806,,,,
ygfB,b2909,3054866,3055444,PF03695 family protein YgfB,ECK2904,"ygfB,b2909,ECK2904",EG11323,,,,
ygeW,b2870,3006262,3007452,putative carbamoyltransferase YgeW,ECK2866,"ygeW,b2870,ECK2866",G7489,,,,
nrdD,b4238,4460522,4462660,anaerobic ribonucleoside-triphosphate reductase,ECK4233,"nrdD,b4238,ECK4233",EG11417,,,,
clpS,b0881,922913,923233,specificity factor for ClpA-ClpP chaperone-protease complex,ECK0872,"clpS,yljA,b0881,ECK0872",G6463,,,,
rseA,b2572,2708754,2709404,anti-sigma-E factor RseA,ECK2570,"rseA,yfiJ,mclA,b2572,ECK2570",EG12341,,,,
ybaB,b0471,494076,494405,putative nucleoid-associated protein YbaB,ECK0465,"ybaB,b0471,ECK0465",EG11100,,,,
ypjC,b2650,2784529,2785011,DUF5507 domain-containing protein YpjC,ECK2647,"ypjC,b2650,ECK2647",G7385,,,,
ptrB,b1845,1926779,1928839,oligopeptidase B,ECK1846,"ptrB,tlp,b1845,ECK1846",EG11004,,,,
gmhB,b0200,222833,223408,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",ECK0200,"gmhB,yaeD,b0200,ECK0200",EG11736,,,,
rstB,b1609,1682882,1684183,"sensory histidine kinase RstB - phosphorylated,sensory histidine kinase RstB",ECK1604,"rstB,uspT,b1609,ECK1604",EG11233,,,,
yrbL,b3207,3348452,3349084,protein kinase-like domain-containing protein YrbL,ECK3196,"yrbL,b3207,ECK3196",G7667,,,,
yfcH,b2304,2421708,2422601,epimerase family protein YfcH,ECK2298,"yfcH,b2304,ECK2298",G7196,,,,
nagA,b0677,701603,702751,<i>N</i>-acetylglucosamine-6-phosphate deacetylase,ECK0665,"nagA,b0677,ECK0665",EG10632,,,,
mltD,b0211,232597,233955,membrane-bound lytic murein transglycosylase D,ECK0211,"mltD,yafG,dniR,b0211,ECK0211",EG10246,,,,
ulaR,b4191,4417698,4418453,DNA-binding transcriptional repressor UlaR,ECK4187,"ulaR,yjfQ,b4191,ECK4187",G7854,,,"ulaG,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA","b4192,b4198,b4197,b4196,b4195,b4194,b4193"
tabA,b4252,4474862,4475314,DUF386 domain-containing toxin-antitoxin biofilm protein TabA,ECK4245,"tabA,yjgK,b4252,ECK4245",G7883,,,,
yodC,b1957,2028188,2028370,protein YodC,ECK1955,"yodC,b1957,ECK1955",G7050,,,,
degQ,b3234,3380743,3382110,periplasmic serine endoprotease,ECK3223,"degQ,hhoA,b3234,ECK3223",G7682,,,,
ais,b2252,2365018,2365620,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,ECK2245,"ais,pagH,pmrG,b2252,ECK2245",G7165,,,,
yqhA,b3002,3148977,3149471,UPF0114 family protein YqhA,ECK2996,"yqhA,b3002,ECK2996",G7559,,,,
yfaP,b2225,2327367,2328143,DUF2135 domain-containing protein YfaP,ECK2218,"yfaP,b2225,ECK2218",G7152,,,,
yniB,b1726,1808697,1809233,uncharacterized protein YniB,ECK1724,"yniB,b1726,ECK1724",G6931,,,,
agaR,b3131,3277856,3278665,DNA-binding transcriptional repressor AgaR,ECK3119,"agaR,yhaW,b3131,ECK3119",G7630,,,"agaI,agaD,agaC,agaB,kbaY,agaS,agaR,agaA,agaW,agaV,kbaZ","b3141,b3140,b3139,b3138,b3137,b3136,b3131,b3135,b3134,b3133,b3132"
sapC,b1292,1353628,1354518,putrescine ABC exporter membrane protein SapC,ECK1287,"sapC,b1292,ECK1287",G2000,,,,
ygeV,b2869,3004008,3005786,putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV,ECK2865,"ygeV,b2869,ECK2865",G7488,,,,
ykgM,b0296,312514,312777,50S ribosomal subunit protein L31B,ECK0296,"ykgM,b0296,ECK0296",G6167,,,,
yddL,b1472,1545738,1546028,putative uncharacterized protein YddL,ECK1466,"yddL,b1472,ECK1466",G6773,,,,
slt,b4392,4630733,4632670,soluble lytic murein transglycosylase,ECK4384,"slt,sltY,b4392,ECK4384",EG10950,,,,
rfaD,b3619,3793987,3794919,ADP-L-glycero-D-mannoheptose 6-epimerase,ECK3609,"rfaD,waaD,hldD,htrM,nbsB,b3619,ECK3609",EG10838,,,,
yfgO,b2493,2614820,2615881,putative transporter YfgO,ECK2489,"yfgO,perM,b2493,ECK2489",G7310,,,,
ynfC,b1585,1656747,1657457,PF06788 family lipoprotein YnfC,ECK1580,"ynfC,b1585,ECK1580",G6843,,,,
ymjA,b1295,1357423,1357668,DUF2543 domain-containing protein YmjA,ECK1290,"ymjA,b1295,ECK1290",G6642,,,,
nanA,b3225,3372683,3373576,<i>N</i>-acetylneuraminate lyase,ECK3214,"nanA,b3225,ECK3214",EG10637,,,,
clpP,b0437,456677,457300,ATP-dependent Clp protease proteolytic subunit,ECK0431,"clpP,lopP,b0437,ECK0431",EG10158,,,,
dgcM,b1341,1406563,1407795,diguanylate cyclase DgcM,ECK1338,"dgcM,ydaM,b1341,ECK1338",G6673,,,,
uspC,b1895,1979753,1980181,universal stress protein C,ECK1894,"uspC,yecG,b1895,ECK1894",G7031,,,,
yccM,b0992,1052289,1053362,putative electron transport protein YccM,ECK0983,"yccM,b0992,ECK0983",G6513,,,,
recE,b1350,1414786,1417386,"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific",ECK1347,"recE,rmuB,rac,sbcA,b1350,ECK1347",EG10827,,,,
kdsA,b1215,1268165,1269019,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,ECK1203,"kdsA,b1215,ECK1203",EG10518,,,,
rcnA,b2106,2185917,2186741,Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,ECK2099,"rcnA,yohM,b2106,ECK2099",G7138,,,,
chiQ,b0682,709790,710116,lipoprotein ChiQ,ECK0670,"chiQ,ybfN,b0682,ECK0670",G6371,,,,
ylbE,b4572,548357,549616,DUF1116 domain-containing protein YlbE,ECK0512,"ylbE,b0519,G0-10554,b4507,b4572,ECK0512",G6288,,,,
nagB,b0678,702811,703611,glucosamine-6-phosphate deaminase,ECK0666,"nagB,glmD,b0678,ECK0666",EG10633,,,,
exoX,b1844,1926120,1926782,exonuclease X,ECK1845,"exoX,yobC,b1844,ECK1845",G7016,,,,
ycjW,b1320,1382963,1383961,DNA-binding transcriptional repressor YcjW,ECK1316,"ycjW,b1320,ECK1316",G6658,,,"ompG,ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM","b1319,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309"
cspC,b1823,1907226,1907435,transcription antiterminator and regulator of mRNA stability CspC,ECK1821,"cspC,msmB,b1823,ECK1821",EG12204,,,,
yaaY,b0024,21181,21399,DUF2575 domain-containing protein YaaY,ECK0025,"yaaY,b0024,ECK0025",G6087,,,,
recB,b2820,2952461,2956003,exodeoxyribonuclease V subunit RecB,ECK2816,"recB,ior,rorA,b2820,ECK2816",EG10824,,,,
hldE,b3052,3195320,3196753,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,ECK3042,"hldE,yqiF,rfaE,gmhC,waaE,b3052,ECK3042",G7590,,,,
yeaL,b1789,1874352,1874798,DUF441 domain-containing inner membrane protein YeaL,ECK1787,"yeaL,b1789,ECK1787",G6975,,,,
ybcH,b0567,587091,587981,putative exopolysaccharide secretion system auxiliary component,ECK0559,"ybcH,b0567,ECK0559",EG12448,,,,
yibT,b4554,3776171,3776380,protein YibT,ECK3591,"yibT,b4554,ECK3591",G0-10468,,,,
glmS,b3729,3911839,3913668,L-glutamine&mdash;D-fructose-6-phosphate aminotransferase,ECK3722,"glmS,b3729,ECK3722",EG10382,,,,
hsdR,b4350,4583249,4586761,type I restriction enzyme EcoKI endonuclease subunit,ECK4340,"hsdR,hsp,hsr,b4350,ECK4340",EG10459,,,,
yeiL,b2163,2255355,2256014,DNA-binding transcriptional activator YeiL,ECK2156,"yeiL,b2163,ECK2156",EG12031,yeiL,b2163,,
hicB,b1438,1509508,1509924,antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,ECK1432,"hicB,ydcQ,b1438,ECK1432",G6749,,,"hicB,hicA","b1438,b4532"
yriB,b4792,3640643,3640696,protein YriB,ECK4649,"yriB,b4792,ECK4649",G0-17038,,,,
sbcD,b0398,415750,416952,ATP-dependent structure-specific DNA nuclease - SbcD subunit,ECK0392,"sbcD,yajA,b0398,ECK0392",EG11094,,,,
eptB,b3546,3708784,3710475,phosphoethanolamine transferase EptB,ECK3533,"eptB,yhjW,b3546,ECK3533",EG12267,,,,
creC,b4399,4636696,4638120,sensory histidine kinase CreC,ECK4391,"creC,phoM,b4399,ECK4391",EG10730,,,,
yebF,b1847,1930034,1930390,secreted protein YebF,ECK1848,"yebF,b1847,ECK1848",EG11807,,,,
yabP,b0056,58474,59124,putative uncharacterized protein YabP,ECK0057,"yabP,b4659,b0056,ECK0057",EG12610,,,,
nanK,b3222,3369475,3370350,<i>N</i>-acetylmannosamine kinase,ECK3211,"nanK,yhcI,b3222,ECK3211",G7676,,,,
uvrB,b0779,813526,815547,UvrABC excision nuclease subunit B,ECK0768,"uvrB,dar-1,dar-6,b0779,ECK0768",EG11062,,,,
hipB,b1508,1592176,1592442,antitoxin/DNA-binding transcriptional repressor HipB,ECK1501,"hipB,b1508,ECK1501",EG10442,,,"fadH,eutH,eutA,mazF,mazE,relA,hipA,hipB","b3081,b2452,b2451,b2782,b2783,b2784,b1507,b1508"
dsbA,b3860,4043418,4044044,"thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub>,thiol:disulfide oxidoreductase DsbA",ECK3852,"dsbA,dsf,iarA,ppfA,b3860,ECK3852",EG11297,,,,
mgtT,b4775,1622741,1622845,protein MgtT,ECK4632,"mgtT,b4775,ECK4632",G0-17021,,,,
recJ,b2892,3036373,3038106,ssDNA-specific exonuclease RecJ,ECK2887,"recJ,b2892,ECK2887",EG10830,,,,
kdsB,b0918,970852,971598,3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase,ECK0909,"kdsB,b0918,ECK0909",EG10519,,,,
mdtJ,b1600,1673136,1673501,multidrug/spermidine efflux pump membrane subunit MdtJ,ECK1595,"mdtJ,ydgF,b1600,ECK1595",G6858,,,,
yfaA,b2230,2334956,2336644,DUF2138 domain-containing protein YfaA,ECK2222,"yfaA,pufY,b2230,ECK2222",EG11142,,,,
bcsF,b3537,3698026,3698217,putative cellulose biosynthesis protein BcsF,ECK3522,"bcsF,yhjT,b3537,ECK3522",EG12264,,,,
glmM,b3176,3322733,3324070,phosphoglucosamine mutase,ECK3165,"glmM,yhbF,mrsA,b3176,ECK3165",EG11553,,,,
recC,b2822,2959060,2962428,exodeoxyribonuclease V subunit RecC,ECK2818,"recC,b2822,ECK2818",EG10825,,,,
ypdC,b2382,2501130,2501987,putative AraC-type DNA-binding transcriptional regulator YpdC,ECK2378,"ypdC,b2382,ECK2378",G7245,,,,
ybjN,b0853,892957,893433,protein YbjN,ECK0844,"ybjN,b0853,ECK0844",G6447,,,,
ynfS,b4750,1642122,1642211,Qin prophage; protein YnfS,ECK4607,"ynfS,b4750,ECK4607",G0-16744,,,,
nfi,b3998,4198790,4199461,endonuclease V,ECK3990,"nfi,yjaF,b3998,ECK3990",EG11915,,,,
kdsD,b3197,3341266,3342252,D-arabinose 5-phosphate isomerase KdsD,ECK3186,"kdsD,yrbH,b3197,ECK3186",G7662,,,,
ycjO,b1311,1373222,1374103,putative ABC transporter membrane subunit YcjO,ECK1306,"ycjO,b1311,ECK1306",G6649,,,,
ygjP,b3085,3235960,3236463,putative metal-dependent hydrolase,ECK3075,"ygjP,b3085,ECK3075",G7604,,,,
yehR,b2123,2211225,2211686,DUF1307 domain-containing lipoprotein YehR,ECK2115,"yehR,b2123,ECK2115",EG12004,,,,
mrcB,b0149,164730,167264,"PBP1B&gamma;,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB",ECK0148,"mrcB,pbpF,ponB,b0149,ECK0148",EG10605,,,,
mcrB,b4346,4577958,4579337,"McrB<sub>S</sub>,Type IV methyl-directed restriction enzyme EcoKMcrB subunit",ECK4336,"mcrB,rglB,b4346,ECK4336",EG10574,,,,
dhaR,b1201,1251066,1252985,DNA-binding transcriptional dual regulator DhaR,ECK1189,"dhaR,ycgU,b1201,ECK1189",G6628,"dhaM,dhaL,dhaK","b1198,b1199,b1200",dhaR,b1201
uspE,b1333,1397672,1398622,universal stress protein E,ECK1329,"uspE,ydaA,b1333,ECK1329",EG11246,,,,
ylcJ,b4733,568695,568844,DLP12 prophage; protein YlcJ,ECK4590,"ylcJ,b4733,ECK4590",G0-16728,,,,
xseB,b0422,441101,441343,exodeoxyribonuclease VII subunit XseB,ECK0416,"xseB,yajE,b0422,ECK0416",EG11098,,,,
gutQ,b2708,2829813,2830778,D-arabinose 5-phosphate isomerase GutQ,ECK2703,"gutQ,srlQ,b2708,ECK2703",EG10973,,,,
kdpD,b0695,721730,724414,sensor histidine kinase KdpD,ECK0683,"kdpD,kac,b0695,ECK0683",EG10516,,,,
yobB,b1843,1925440,1926096,putative carbon-nitrogen hydrolase family protein YobB,ECK1844,"yobB,b1843,ECK1844",G7015,,,,
yidI,b3677,3856415,3856864,putative inner membrane protein YidI,ECK3668,"yidI,b3677,ECK3668",EG11697,,,,
nanE,b3223,3370347,3371036,probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase,ECK3212,"nanE,yhcJ,b3223,ECK3212",G7677,,,,
uvrC,b1913,1992874,1994706,UvrABC excision nuclease subunit C,ECK1912,"uvrC,b1913,ECK1912",EG11063,,,,
gadW,b3515,3663890,3664618,DNA-binding transcriptional dual regulator GadW,ECK3499,"gadW,yhiW,b3515,ECK3499",EG12242,"gadC,gadB,gadX,gadA,yhiD,hdeB,hdeA,gadF,mdtF,mdtE,gadE","b1492,b1493,b3516,b3517,b3508,b3509,b3510,b4718,b3514,b3513,b3512","gadC,gadB,yhiD,hdeB,hdeA,dctR,slp,gadY,gadW,gadX,gadA","b1492,b1493,b3508,b3509,b3510,b3507,b3506,b4452,b3515,b3516,b3517"
mreB,b3251,3400044,3401087,dynamic cytoskeletal protein MreB,ECK3239,"mreB,rodY,envB,mon,mreB_1,b3251,ECK3239",EG10608,,,,
yobI,b4677,1946115,1946180,uncharacterized protein YobI,ECK4492,"yobI,b4677,ECK4492",G0-10644,,,,
sbcB,b2011,2082756,2084183,exodeoxyribonuclease I,ECK2005,"sbcB,exoI,rmuA,cpeA,xonA,b2011,ECK2005",EG10926,,,,
gmhA,b0222,243543,244121,D-sedoheptulose 7-phosphate isomerase,ECK0223,"gmhA,yafI,lpcA,tfrA,b0222,ECK0223",G6106,,,,
abrB,b0715,746723,747769,putative regulator,ECK0704,"abrB,ybgN,b0715,ECK0704",G6384,,,,
ydcJ,b1423,1495288,1496631,DUF1338 domain-containing protein YdcJ,ECK1417,"ydcJ,b1423,ECK1417",G6738,,,,
ychE,b1242,1298598,1299245,MarC family putative inner membrane protein YchE,ECK1236,"ychE,b1242,ECK1236",EG11342,,,,
nanT,b3224,3371084,3372574,<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter,ECK3213,"nanT,b3224,ECK3213",G436,,,,
recD,b2819,2950635,2952461,exodeoxyribonuclease V subunit RecD,ECK2815,"recD,hopE,b2819,ECK2815",EG10826,,,,
yidL,b3680,3860283,3861176,putative DNA-binding transcriptional regulator YidL,ECK3671,"yidL,b3680,ECK3671",EG11707,,,,
actS,b2865,2999136,2999891,amidase activator,ECK2861,"actS,ygeR,b2865,ECK2861",G7484,,,,
hemY,b3802,3986686,3987882,protein HemY,ECK3796,"hemY,b3802,ECK3796",EG10434,,,,
mcrC,b4345,4576912,4577958,Type IV methyl-directed restriction enzyme EcoKMcrBC subunit,ECK4335,"mcrC,b4345,ECK4335",EG10575,,,,
acpH,b0404,424337,424918,acyl carrier protein phosphodiesterase,ECK0398,"acpH,yajB,b0404,ECK0398",EG11095,,,,
yaiW,b0378,397872,398966,surface-exposed outer membrane lipoprotein,ECK0373,"yaiW,b0378,ECK0373",G6227,,,,
ybeQ,b0644,675570,676547,Sel1 repeat-containing protein YbeQ,ECK0637,"ybeQ,b0644,ECK0637",G6351,,,,
yjgL,b4253,4475437,4477251,protein YjgL,ECK4246,"yjgL,b4253,ECK4246",G7884,,,,
nagC,b0676,700374,701594,DNA-binding transcriptional dual regulator NagC,ECK0664,"nagC,nagR,b0676,ECK0664",EG10636,"fimB,glmS,glmU","b4312,b3729,b3730","ydeM,ydeN,ydeP,dinI,creA,creB,creC,creD,ptsH,ptsI,crr,chiZ,chiQ,chiP,galP,nagE,nanS,nanM,nanC,manX,manY,manZ,glmS,glmU,chbG,chbF,chbR,chbA,chbC,chbB,umpH,nagC,nagA,nagB","b1497,b1498,b1501,b1061,b4397,b4398,b4399,b4400,b2415,b2416,b2417,b4808,b0682,b0681,b2943,b0679,b4309,b4310,b4311,b1817,b1818,b1819,b3729,b3730,b1733,b1734,b1735,b1736,b1737,b1738,b0675,b0676,b0677,b0678"
endA,b2945,3090347,3091054,DNA-specific endonuclease I,ECK2940,"endA,b2945,ECK2940",EG11336,,,,
yjiR,b4340,4570162,4571574,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,ECK4331,"yjiR,b4340,ECK4331",G7936,,,,
yqcG,b4682,2905557,2905697,cell envelope stress response protein YqcG,ECK4497,"yqcG,b4682,ECK4497",G0-10655,,,,
yhdU,b3263,3412621,3412800,DUF2556 domain-containing protein YhdU,ECK3250,"yhdU,b3263,ECK3250",G7694,,,,
xseA,b2509,2634232,2635602,exodeoxyribonuclease VII subunit XseA,ECK2505,"xseA,xse,b2509,ECK2505",EG11072,,,,
acpP,b1094,1151615,1151851,"octanoyl-ACP,lipoyl-ACP,<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP,<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP,succinyl-ACP,<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP,3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP,(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP,(3<i>R</i>)-3-hydroxybutanoyl-ACP,<i>trans</i> oct-2-enoyl-ACP,<i>trans</i>-but-2-enoyl-ACP,(3<i>R</i>)-3-hydroxyoctanoyl-ACP,<i>trans</i>-hexadec-2-enoyl-ACP,holo-[acyl-carrier protein],acyl carrier protein",ECK1080,"acpP,b1094,ECK1080",EG50003,,,,
fecD,b4288,4511458,4512414,ferric citrate ABC transporter membrane subunit FecD,ECK4278,"fecD,b4288,ECK4278",EG10289,,,,
ybgE,b0735,774309,774602,PF09600 family protein YbgE,ECK0724,"ybgE,b0735,ECK0724",EG12395,,,,
glcG,b2977,3123827,3124231,putative heme-binding protein GlcG,ECK2971,"glcG,yghC,b2977,ECK2971",G7543,,,,
gcl,b0507,533916,535697,glyoxylate carboligase,ECK0500,"gcl,b0507,ECK0500",EG11583,,,,
sbcC,b0397,412607,415753,ATP-dependent structure-specific DNA nuclease - SbcC subunit,ECK0391,"sbcC,b0397,ECK0391",EG10927,,,,
yegW,b2101,2182035,2182781,putative DNA-binding transcriptional regulator YegW,ECK2094,"yegW,b2101,ECK2094",G7133,,,,
zinT,b1973,2041375,2042025,metal-binding protein ZinT,ECK1969,"zinT,yodA,b1973,ECK1969",G7061,,,,
yqeK,b2849,2989935,2990360,protein YqeK,ECK2847,"yqeK,b2849,ECK2847",G7469,,,,
rnm,b1266,1323220,1324101,RNase AM,ECK1260,"rnm,trpH,yciV,b1266,ECK1260",G6634,,,,
yceJ,b1057,1118480,1119046,putative cytochrome b561 YceJ,ECK1042,"yceJ,b1057,ECK1042",G6554,,,,
idnT,b4265,4491206,4492525,L-idonate/5-ketogluconate/gluconate transporter,ECK4258,"idnT,gntW,yjgT,b4265,ECK4258",EG12539,,,,
yadE,b0130,145081,146310,putative polysaccharide deacetylase lipoprotein YadE,ECK0129,"yadE,b0130,ECK0129",EG11749,,,,
yphC,b2545,2674700,2675761,putative zinc-binding dehydrogenase YphC,ECK2542,"yphC,b2545,ECK2542",G7339,,,,
glcD,b2979,3126522,3128021,"glycolate dehydrogenase, putative FAD-linked subunit",ECK2974,"glcD,yghM,gox,b2979,ECK2974",G7545,,,,
rnd,b1804,1886864,1887991,RNase D,ECK1802,"rnd,b1804,ECK1802",EG10858,,,,
lsrR,b1512,1600288,1601241,DNA-binding transcriptional repressor LsrR,ECK1505,"lsrR,ydeW,b1512,ECK1505",G6799,,,"lsrK,lsrR,tam,lsrG,lsrF,lsrB,lsrD,lsrC,lsrA","b1511,b1512,b1519,b1518,b1517,b1516,b1515,b1514,b1513"
uspB,b3494,3639385,3639720,universal stress protein B,ECK3479,"uspB,yhiO,b3494,ECK3479",EG12231,,,,
yfbO,b2274,2388635,2389057,uncharacterized protein YfbO,ECK2268,"yfbO,b2274,ECK2268",G7181,,,,
rnt,b1652,1728347,1728994,ribonuclease T,ECK1648,"rnt,b1652,ECK1648",EG11547,,,,
ccmA,b2201,2297021,2297644,cytochrome <i>c</i> maturation protein A,ECK2193,"ccmA,yejW,b2201,ECK2193",EG12059,,,,
znuB,b1859,1943414,1944199,Zn<sup>2+</sup> ABC transporter membrane subunit,ECK1860,"znuB,yebI,b1859,ECK1860",EG12368,,,,
ygeG,b2851,2991268,2991759,TPR repeat-containing putative chaperone YgeG,ECK2849,"ygeG,b2851,ECK2849",G7471,,,,
yecT,b1877,1961972,1962460,protein YecT,ECK1878,"yecT,b1877,ECK1878",G7026,,,,
glcF,b4467,3124236,3125459,"glycolate dehydrogenase, putative iron-sulfur subunit",ECK2972,"glcF,gox,yghL,b2978,b4467,ECK2972",G0-8601,,,,
rhlB,b3780,3964365,3965630,ATP-dependent RNA helicase RhlB,ECK3772,"rhlB,mmrA,b3780,ECK3772",EG10844,,,,
ycaN,b0900,948660,949568,putative DNA-binding transcriptional regulator YcaN,ECK0891,"ycaN,b0900,ECK0891",G6467,,,,
ydiH,b1685,1764934,1765122,uncharacterized protein YdiH,ECK1682,"ydiH,b1685,ECK1682",G6911,,,,
rnpA,b3704,3884493,3884852,RNase P protein component,ECK3696,"rnpA,b3704,ECK3696",EG10862,,,,
grxC,b3610,3784191,3784442,"oxidized glutaredoxin 3,reduced glutaredoxin 3",ECK3600,"grxC,yibM,b3610,ECK3600",EG12294,,,,
yhhS,b3473,3610516,3611733,putative transporter YhhS,ECK3457,"yhhS,b3473,ECK3457",EG12219,,,,
yoaC,b1810,1894133,1894432,DUF1889 domain-containing protein YoaC,ECK1808,"yoaC,b1810,ECK1808",G6994,,,,
yncG,b1454,1526247,1526864,putative glutathione <i>S</i>-transferase YncG,ECK1448,"yncG,b1454,ECK1448",G6765,,,,
glcE,b4468,3125470,3126522,"glycolate dehydrogenase, putative FAD-binding subunit",ECK2973,"glcE,yghL,gox,b2978,b4468,ECK2973",G7544,,,,
rne,b1084,1141182,1144367,ribonuclease E,ECK1069,"rne,smbB,ams,hmp1,b1084,ECK1069",EG10859,,,rne,b1084
yahB,b0316,333501,334433,putative LysR-type DNA-binding transcriptional regulator YahB,ECK0314,"yahB,b0316,ECK0314",G6181,,,,
ychS,b1228,1286709,1286984,putative uncharacterized protein YchS,ECK1222,"ychS,b1228,ECK1222",G6631,,,,
rbn,b2268,2381608,2382525,ribonuclease BN,ECK2262,"rbn,zipD,ecoZ,rnz,elaC,b2268,ECK2262",G7175,,,,
trxA,b3781,3965761,3966090,"oxidized thioredoxin,thioredoxin 1",ECK3773,"trxA,dasC,fipA,tsnC,b3781,ECK3773",EG11031,,,,
yejE,b2179,2275273,2276298,putative oligopeptide ABC transporter membrane subunit YejE,ECK2173,"yejE,b2179,ECK2173",EG12040,,,,
ycjD,b1289,1351407,1351760,DUF559 domain-containing protein YcjD,ECK1284,"ycjD,b1289,ECK1284",G6641,,,,
yccU,b0965,1027946,1028359,putative HspQ acetyl donor,ECK0956,"yccU,b0965,ECK0956",G6499,,,,
fixC,b0043,44180,45466,putative oxidoreductase FixC,ECK0044,"fixC,yaaS,b0043,ECK0044",EG11564,,,,
rnb,b1286,1346978,1348912,RNase II,ECK1281,"rnb,b1286,ECK1281",EG11620,,,,
baeR,b2079,2164276,2164998,"DNA-binding transcriptional activator BaeR-phosphorylated,DNA-binding transcriptional activator BaeR",ECK2075,"baeR,b2079,ECK2075",EG11618,"acrD,ycaC,spy,baeR,baeS,mdtD,mdtC,mdtB,mdtA","b2470,b0897,b1743,b2079,b2078,b2077,b2076,b2075,b2074",,
yaiY,b0379,399025,399333,DUF2755 domain-containing inner membrane protein YaiY,ECK0374,"yaiY,b0379,ECK0374",G6228,,,,
rna,b0611,644197,645003,RNase I,ECK0604,"rna,rnsA,b0611,ECK0604",EG10856,,,,
grxB,b1064,1123407,1124054,"oxidized glutaredoxin 2,reduced glutaredoxin 2",ECK1049,"grxB,b1064,ECK1049",EG12688,,,,
yjcE,b4065,4279980,4281629,putative transporter YjcE,ECK4058,"yjcE,b4065,ECK4058",EG11940,,,,
yaiS,b0364,384059,384616,putative deacetylase YaiS,ECK0361,"yaiS,b0364,ECK0361",G6216,,,,
