Regulator	Regulated	Effect	Evidence	Strength
CRP	uxuA	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CRP	uxuB	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CRP	uxuR	+	[GEA, HIBSCS]	Weak
CRP	xseA	-	[BPP, GEA, SM]	Strong
CRP	xylA	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	xylB	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	xylE	+	[AIBSCS, BPP, GEA, SM]	Weak
CRP	xylF	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	xylG	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	xylH	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	xylR	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	yaeP	-	[GEA, HIBSCS]	Weak
CRP	yaeQ	-	[GEA, HIBSCS]	Weak
CRP	ybiT	+-	[AIBSCS, GEA, HIBSCS]	Weak
CRP	ycdZ	+-	[AIBSCS, GEA]	Weak
CRP	ychH	+	[AIBSCS, BCE, GEA, SM]	Weak
CRP	yeiP	+	[AIBSCS, GEA]	Weak
CRP	yeiW	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	yfaE	+	[AIBSCS, GEA]	Weak
CRP	ygeA	+	[AIBSCS, BPP]	Weak
CRP	yhcH	+	[BPP]	Strong
CRP	yhfA	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak
CRP	yhfA	-	[BPP, HIBSCS, SM]	Strong
CRP	yhgH	+	[AIBSCS]	Weak
CRP	yiaJ	-	[BPP, GEA, HIBSCS]	Strong
CRP	yiaK	+	[BPP, GEA, HIBSCS]	Strong
CRP	yiaK	?	[BPP, GEA, HIBSCS]	Strong
CRP	yiaL	+	[BPP, GEA, HIBSCS]	Strong
CRP	yiaL	?	[BPP, GEA, HIBSCS]	Strong
CRP	yiaM	+	[BPP, GEA, HIBSCS]	Strong
CRP	yiaM	?	[BPP, GEA, HIBSCS]	Strong
CRP	yiaN	+	[BPP, GEA, HIBSCS]	Strong
CRP	yiaN	?	[BPP, GEA, HIBSCS]	Strong
CRP	yiaO	+	[BPP, GEA, HIBSCS]	Strong
CRP	yiaO	?	[BPP, GEA, HIBSCS]	Strong
CRP	yjcH	+	[AIBSCS, BPP, GEA, SM]	Weak
CRP	ykgR	+	[GEA, HIBSCS]	Weak
CRP	ynfK	+	[AIBSCS, GEA, HIBSCS]	Weak
CRP	zraR	+	[AIBSCS, GEA]	Weak
CRP	zraS	+	[AIBSCS, GEA]	Weak
CadC	cadA	+	[BPP, GEA]	Strong
CadC	cadB	+	[BPP, GEA]	Strong
CadC	cadC	+	[GEA]	Weak
CaiF	caiA	+	[BPP, GEA, HIBSCS]	Strong
CaiF	caiB	+	[BPP, GEA, HIBSCS]	Strong
CaiF	caiC	+	[BPP, GEA, HIBSCS]	Strong
CaiF	caiD	+	[BPP, GEA, HIBSCS]	Strong
CaiF	caiE	+	[BPP, GEA, HIBSCS]	Strong
CaiF	caiT	+	[BPP, GEA, HIBSCS]	Strong
CaiF	fixA	+	[BPP, GEA, HIBSCS]	Strong
CaiF	fixB	+	[BPP, GEA, HIBSCS]	Strong
CaiF	fixC	+	[BPP, GEA, HIBSCS]	Strong
CaiF	fixX	+	[BPP, GEA, HIBSCS]	Strong
Cbl	ssuA	+	[BPP, GEA]	Strong
Cbl	ssuB	+	[BPP, GEA]	Strong
Cbl	ssuC	+	[BPP, GEA]	Strong
Cbl	ssuD	+	[BPP, GEA]	Strong
Cbl	ssuE	+	[BPP, GEA]	Strong
Cbl	tauA	+	[BPP, GEA]	Strong
Cbl	tauB	+	[BPP, GEA]	Strong
Cbl	tauC	+	[BPP, GEA]	Strong
Cbl	tauD	+	[BPP, GEA]	Strong
CdaR	cdaR	+	[GEA]	Weak
CdaR	garD	+	[GEA]	Weak
CdaR	garK	+	[GEA]	Weak
CdaR	garL	+	[GEA]	Weak
CdaR	garP	+	[GEA]	Weak
CdaR	garR	+	[GEA]	Weak
CdaR	gudD	+	[GEA]	Weak
CdaR	gudP	+	[GEA]	Weak
CdaR	gudX	+	[GEA]	Weak
CdaR	rnpB	+	[GEA]	Weak
CecR	cecR	-	[BPP, GEA, GS, HIBSCS]	Strong
CecR	ybhF	-	[BPP, GEA, GS, HIBSCS]	Strong
CecR	ybhG	-	[BPP, GEA, GS, HIBSCS]	Strong
CecR	ybhR	-	[BPP, GEA, GS, HIBSCS]	Strong
CecR	ybhS	-	[BPP, GEA, GS, HIBSCS]	Strong
ChbR	chbA	+-	[BPP, GEA]	Strong
ChbR	chbB	+-	[BPP, GEA]	Strong
ChbR	chbC	+-	[BPP, GEA]	Strong
ChbR	chbF	+-	[BPP, GEA]	Strong
ChbR	chbG	+-	[BPP, GEA]	Strong
ChbR	chbR	+-	[BPP, GEA]	Strong
ComR	bhsA	-	[BPP, GEA]	Strong
CpxR	acrD	+	[BPP, GEA, IC]	Strong
CpxR	aroG	+	[BPP, HIBSCS]	Strong
CpxR	bacA	+	[ICA]	Weak
CpxR	baeR	+	[BPP, GEA, IC]	Strong
CpxR	baeS	+	[BPP, GEA, IC]	Strong
CpxR	bamE	-	[ICA]	Weak
CpxR	cheA	-	[BPP, GEA]	Strong
CpxR	cheW	-	[BPP, GEA]	Strong
CpxR	cpxA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	cpxP	+	[BPP, GEA, HIBSCS]	Strong
CpxR	cpxQ	+	[BPP, GEA, HIBSCS]	Strong
CpxR	cpxR	+	[BPP, GEA, HIBSCS]	Strong
CpxR	csgA	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	csgB	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	csgC	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	csgD	-	[BPP, GEA, HIBSCS]	Strong
CpxR	csgE	-	[BPP, GEA, HIBSCS]	Strong
CpxR	csgF	-	[BPP, GEA, HIBSCS]	Strong
CpxR	csgG	-	[BPP, GEA, HIBSCS]	Strong
CpxR	cyaR	-	[BPP, GEA]	Strong
CpxR	degP	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	dgcZ	+	[BPP, GEA, HIBSCS]	Strong
CpxR	dsbA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	dsbC	+	[GEA, HIBSCS]	Weak
CpxR	efeU	-	[BPP, GEA, HIBSCS]	Strong
CpxR	fabZ	+	[GEA, HIBSCS]	Weak
CpxR	ftnB	+	[BPP, HIBSCS]	Strong
CpxR	hha	+	[BPP, HIBSCS]	Strong
CpxR	kbp	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	ldtC	+	[BPP, HIBSCS]	Strong
CpxR	ldtD	+	[BPP, GEA, HIBSCS]	Strong
CpxR	lpxA	+	[GEA, HIBSCS]	Weak
CpxR	lpxD	+	[GEA, HIBSCS]	Weak
CpxR	marA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	marB	+	[BPP, GEA, HIBSCS]	Strong
CpxR	marR	+	[BPP, GEA, HIBSCS]	Strong
CpxR	mdtA	+	[BPP, GEA, IC]	Strong
CpxR	mdtB	+	[BPP, GEA, IC]	Strong
CpxR	mdtC	+	[BPP, GEA, IC]	Strong
CpxR	mdtD	+	[BPP, GEA, IC]	Strong
CpxR	motA	-	[BPP, GEA]	Strong
CpxR	motB	-	[BPP, GEA]	Strong
CpxR	mscM	-	[ICA]	Weak
CpxR	mzrA	+	[BPP, HIBSCS]	Strong
CpxR	ompC	+	[AIBSCS, BPP, GEA]	Weak
CpxR	ompF	-	[AIBSCS, BPP, GEA]	Weak
CpxR	ppiA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	ppiD	+	[HIBSCS, SM]	Weak
CpxR	psd	-	[ICA]	Weak
CpxR	rpoE	-	[AIBSCS, GEA]	Weak
CpxR	rpoH	+	[GEA]	Weak
CpxR	rprA	+	[BPP, GEA]	Strong
CpxR	rseA	-	[AIBSCS, GEA]	Weak
CpxR	rseB	-	[AIBSCS, GEA]	Weak
CpxR	rseC	-	[AIBSCS, GEA]	Weak
CpxR	rseD	-	[AIBSCS, GEA]	Weak
CpxR	sbmA	+	[AIBSCS, GEA]	Weak
CpxR	skp	+	[GEA, HIBSCS]	Weak
CpxR	slt	+	[AIBSCS, BPP, GEA, HIBSCS, IGI]	Weak
CpxR	spy	+	[BPP, GEA, HIBSCS]	Strong
CpxR	srkA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	tomB	+	[BPP, HIBSCS]	Strong
CpxR	tsr	-	[BPP]	Strong
CpxR	ung	-	[BCE, BPP]	Weak
CpxR	yaiW	+	[AIBSCS, GEA]	Weak
CpxR	yccA	+	[BPP, GEA, HIBSCS]	Strong
CpxR	yebE	+	[BPP, GEA, HIBSCS]	Strong
CpxR	yidQ	+	[GEA, HIBSCS]	Weak
CpxR	yqaE	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
CpxR	yqjA	+	[BPP, HIBSCS]	Strong
Cra	aceA	+	[BPP, GEA, SM]	Strong
Cra	aceB	+	[BPP, GEA, SM]	Strong
Cra	aceE	-	[AIBSCS, GEA]	Weak
Cra	aceF	-	[AIBSCS, GEA]	Weak
Cra	aceK	+	[BPP, GEA, SM]	Strong
Cra	acnA	+	[GEA]	Weak
Cra	acnB	-	[GEA]	Weak
Cra	adhE	-	[BCE, GEA, ICWHO, SM]	Weak
Cra	aroP	+	[AIBSCS, GEA, ICWHO]	Weak
Cra	betA	+	[GEA]	Weak
Cra	betB	+	[GEA]	Weak
Cra	betI	+	[GEA]	Weak
Cra	betT	+	[GEA]	Weak
Cra	crp	+	[BPP, GEA, SM]	Strong
Cra	crr	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	crr	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	csgD	+	[AIBSCS, BPP, GEA, SM]	Weak
Cra	csgE	+	[AIBSCS, BPP, GEA, SM]	Weak
Cra	csgF	+	[AIBSCS, BPP, GEA, SM]	Weak
Cra	csgG	+	[AIBSCS, BPP, GEA, SM]	Weak
Cra	cydA	+	[AIBSCS, BPP, GEA]	Weak
Cra	cydB	+	[AIBSCS, BPP, GEA]	Weak
Cra	cyoA	-	[AIBSCS, GEA]	Weak
Cra	cyoB	-	[AIBSCS, GEA]	Weak
Cra	cyoC	-	[AIBSCS, GEA]	Weak
Cra	cyoD	-	[AIBSCS, GEA]	Weak
Cra	cyoE	-	[AIBSCS, GEA]	Weak
Cra	cysG	-	[BCE, GEA, HIBSCS]	Weak
Cra	eda	-	[BPP, GEA, HIBSCS, SM]	Strong
Cra	edd	-	[BPP, GEA, HIBSCS, SM]	Strong
Cra	eno	-	[BPP, GEA, HIBSCS]	Strong
Cra	envC	-	[AIBSCS, GEA]	Weak
Cra	epd	-	[BPP, GEA, HIBSCS, SM]	Strong
Cra	fbaA	-	[BPP, GEA, HIBSCS, SM]	Strong
Cra	fbaB	-	[AIBSCS, GEA]	Weak
Cra	fruA	-	[AIBSCS, GEA, NTAS]	Weak
Cra	fruB	-	[AIBSCS, GEA, NTAS]	Weak
Cra	fruK	-	[AIBSCS, GEA, NTAS]	Weak
Cra	gapA	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	glcC	-	[AIBSCS, GEA]	Weak
Cra	glk	-	[AIBSCS, GEA, HIBSCS]	Weak
Cra	gpmM	-	[AIBSCS, GEA]	Weak
Cra	hypF	-	[BPP, GEA, HIBSCS]	Strong
Cra	icd	+	[BPP]	Strong
Cra	lpd	-	[AIBSCS, GEA]	Weak
Cra	manX	-	[AIBSCS, GEA]	Weak
Cra	manY	-	[AIBSCS, GEA]	Weak
Cra	manZ	-	[AIBSCS, GEA]	Weak
Cra	marA	-	[AIBSCS, GEA]	Weak
Cra	marB	-	[AIBSCS, GEA]	Weak
Cra	marR	-	[AIBSCS, GEA]	Weak
Cra	mpl	-	[AIBSCS, GEA]	Weak
Cra	mtlA	-	[BPP, GEA]	Strong
Cra	mtlD	-	[BPP, GEA]	Strong
Cra	mtlR	-	[BPP, GEA]	Strong
Cra	nirB	-	[BCE, GEA, HIBSCS]	Weak
Cra	nirC	-	[BCE, GEA, HIBSCS]	Weak
Cra	nirD	-	[BCE, GEA, HIBSCS]	Weak
Cra	pck	+	[BPP, GEA, HIBSCS, SM]	Strong
Cra	pdeL	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	pdhR	-	[AIBSCS, GEA]	Weak
Cra	pfkA	-	[BPP]	Strong
Cra	pgk	-	[BPP, GEA, HIBSCS, SM]	Strong
Cra	poxB	+	[GEA]	Weak
Cra	ppc	-	[AIBSCS, GEA]	Weak
Cra	ppsA	+	[AIBSCS, BPP, GEA, ICWHO]	Weak
Cra	prpB	-	[AIBSCS, GEA]	Weak
Cra	prpC	-	[AIBSCS, GEA]	Weak
Cra	prpD	-	[AIBSCS, GEA]	Weak
Cra	prpE	-	[AIBSCS, GEA]	Weak
Cra	ptsH	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	ptsH	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	ptsI	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	ptsI	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	pykF	-	[BCE, SM]	Weak
Cra	setA	-	[AIBSCS, GEA]	Weak
Cra	sgrS	-	[AIBSCS, GEA]	Weak
Cra	sgrT	-	[AIBSCS, GEA]	Weak
Cra	tpiA	-	[AIBSCS, GEA]	Weak
Cra	yeaD	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak
Cra	yibQ	-	[AIBSCS, GEA]	Weak
Cra	zwf	-	[AIBSCS, GEA]	Weak
CreB	creD	+	[AIBSCS, BPP, GEA]	Weak
CreB	malE	-	[AIBSCS, GEA]	Weak
CreB	malF	-	[AIBSCS, GEA]	Weak
CreB	malG	-	[AIBSCS, GEA]	Weak
CreB	talA	+	[AIBSCS, GEA]	Weak
CsgD	csgA	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak
CsgD	csgB	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak
CsgD	csgC	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak
CsgD	csgD	+	[BPP, GEA, HIBSCS]	Strong
CsgD	csgE	+	[BPP, GEA, HIBSCS]	Strong
CsgD	csgF	+	[BPP, GEA, HIBSCS]	Strong
CsgD	csgG	+	[BPP, GEA, HIBSCS]	Strong
CsgD	dgcC	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak
CsgD	flgM	-	[BPP, HIBSCS]	Strong
CsgD	flgN	-	[BPP, HIBSCS]	Strong
CsgD	fliA	-	[AIBSCS, BPP]	Weak
CsgD	fliE	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliF	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliG	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliH	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliI	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliJ	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliK	-	[BPP, GEA, HIBSCS]	Strong
CsgD	fliZ	-	[AIBSCS, BPP]	Weak
CsgD	iraP	+	[GEA]	Weak
CsgD	nlpA	+	[BPP, GEA, HIBSCS]	Strong
CsgD	pepD	-	[AIBSCS, GEA]	Weak
CsgD	tcyJ	-	[AIBSCS, BPP]	Weak
CsgD	wrbA	+	[BPP, HIBSCS]	Strong
CsgD	yccJ	+	[BPP, HIBSCS]	Strong
CsgD	yccT	+	[BPP, GEA, HIBSCS]	Strong
CsgD	yhbS	-	[BPP, GEA, HIBSCS]	Strong
CsgD	yhbT	-	[BPP, GEA, HIBSCS]	Strong
CspA	gyrA	+	[HIBSCS]	Weak
CspA	hns	+	[BPP]	Strong
CsqR	csqR	-	[BPP, GEA, GS]	Strong
CsqR	yihS	-	[BPP, GEA, GS]	Strong
CsqR	yihT	-	[BPP, GEA, GS]	Strong
CsqR	yihU	-	[BPP, GEA, GS]	Strong
CsqR	yihV	-	[BPP, GEA, GS]	Strong
CueR	copA	+	[BPP, HIBSCS, SM]	Strong
CueR	cueO	+	[BPP, GEA, HIBSCS]	Strong
CueR	moaA	-	[GEA, HIBSCS]	Weak
CueR	moaB	-	[GEA, HIBSCS]	Weak
CueR	moaC	-	[GEA, HIBSCS]	Weak
CueR	moaD	-	[GEA, HIBSCS]	Weak
CueR	moaE	-	[GEA, HIBSCS]	Weak
CusR	cusA	+	[BPP, GEA, HIBSCS]	Strong
CusR	cusB	+	[BPP, GEA, HIBSCS]	Strong
CusR	cusC	+	[BPP, GEA, HIBSCS]	Strong
CusR	cusF	+	[BPP, GEA, HIBSCS]	Strong
CusR	cusR	+	[BPP, GEA, HIBSCS]	Strong
CusR	cusS	+	[BPP, GEA, HIBSCS]	Strong
CusR	cyoA	+	[HIBSCS]	Weak
CusR	cyoB	+	[HIBSCS]	Weak
CusR	cyoC	+	[HIBSCS]	Weak
CusR	cyoD	+	[HIBSCS]	Weak
CusR	cyoE	+	[HIBSCS]	Weak
CusR	yedX	+	[AIBSCS, BPP, GEA]	Weak
CynR	cynR	-	[BPP, HIBSCS]	Strong
CynR	cynS	+	[BPP, GEA, HIBSCS]	Strong
CynR	cynT	+	[BPP, GEA, HIBSCS]	Strong
CynR	cynX	+	[BPP, GEA, HIBSCS]	Strong
CysB	cbl	+	[BPP, GEA]	Strong
CysB	cysA	+	[BPP, GEA]	Strong
CysB	cysB	-	[HIBSCS]	Weak
CysB	cysC	+	[BCE]	Weak
CysB	cysD	+	[BCE]	Weak
CysB	cysH	+	[HIBSCS]	Weak
CysB	cysI	+	[HIBSCS]	Weak
CysB	cysJ	+	[HIBSCS]	Weak
CysB	cysK	+	[HIBSCS, SM]	Weak
CysB	cysM	+	[BPP, GEA]	Strong
CysB	cysN	+	[BCE]	Weak
CysB	cysP	+	[BPP, GEA]	Strong
CysB	cysU	+	[BPP, GEA]	Strong
CysB	cysW	+	[BPP, GEA]	Strong
CysB	dgcZ	+	[AIBSCS]	Weak
CysB	hslJ	-	[AIBSCS, BPP, GEA]	Weak
CysB	ssuA	-	[BPP, GEA]	Strong
CysB	ssuB	-	[BPP, GEA]	Strong
CysB	ssuC	-	[BPP, GEA]	Strong
CysB	ssuD	-	[BPP, GEA]	Strong
CysB	ssuE	-	[BPP, GEA]	Strong
CysB	tauA	+	[BPP, GEA]	Strong
CysB	tauB	+	[BPP, GEA]	Strong
CysB	tauC	+	[BPP, GEA]	Strong
CysB	tauD	+	[BPP, GEA]	Strong
CysB	tcyJ	+	[GEA]	Weak
CysB	tcyP	+	[GEA]	Weak
CysB	ybdN	+	[AIBSCS]	Weak
CysB	yciW	+	[AIBSCS, GEA]	Weak
CysB	ygeH	+	[AIBSCS]	Weak
CysB	yoaC	+	[AIBSCS]	Weak
CytR	cdd	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	cytR	-	[BPP, GEA, HIBSCS, IC]	Strong
CytR	deoA	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	deoB	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	deoC	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	deoD	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	nupC	-	[TAS]	Weak
CytR	nupG	-	[BPP, HIBSCS]	Strong
CytR	ppiA	-	[BPP, GEA, HIBSCS, IC]	Strong
CytR	rpoH	-	[BPP, GEA, HIBSCS]	Strong
CytR	tsx	-	[BPP, GEA, HIBSCS, IC, IHBCE, SM]	Strong
CytR	udp	-	[BPP, GEA, HIBSCS, SM]	Strong
CytR	ycdZ	-	[AIBSCS]	Weak
Dan	ttdA	+	[BPP, GEA, HIBSCS]	Strong
Dan	ttdB	+	[BPP, GEA, HIBSCS]	Strong
Dan	ttdR	+	[BPP]	Strong
Dan	ttdT	+	[BPP, GEA, HIBSCS]	Strong
DcuR	dctA	+	[BPP, GEA]	Strong
DcuR	dcuB	+	[BPP, GEA]	Strong
DcuR	dpiA	+	[BPP, HIBSCS]	Strong
DcuR	dpiB	+	[BPP, HIBSCS]	Strong
DcuR	frdA	+	[BPP, GEA]	Strong
DcuR	frdB	+	[BPP, GEA]	Strong
DcuR	frdC	+	[BPP, GEA]	Strong
DcuR	frdD	+	[BPP, GEA]	Strong
DcuR	fumB	+	[BPP, GEA]	Strong
DeoR	deoA	-	[HIBSCS, SM]	Weak
DeoR	deoB	-	[HIBSCS, SM]	Weak
DeoR	deoC	-	[HIBSCS, SM]	Weak
DeoR	deoD	-	[HIBSCS, SM]	Weak
DeoR	nupG	-	[GEA, HIBSCS]	Weak
DeoR	tsx	-	[BCE, GEA]	Weak
DgoR	dgoA	-	[AIBSCS, AIBSPD, BPP, GEA, SM]	Weak
DgoR	dgoD	-	[AIBSCS, AIBSPD, BPP, GEA, SM]	Weak
DgoR	dgoK	-	[AIBSCS, AIBSPD, BPP, GEA, SM]	Weak
DgoR	dgoR	-	[AIBSCS, AIBSPD, BPP, GEA, SM]	Weak
DgoR	dgoT	-	[AIBSCS, AIBSPD, BPP, GEA, SM]	Weak
DhaR	dhaK	+	[GEA]	Weak
DhaR	dhaL	+	[GEA]	Weak
DhaR	dhaM	+	[GEA]	Weak
DhaR	dhaR	-	[GEA]	Weak
DicA	dicB	-	[GEA]	Weak
DicA	dicC	-	[BPP, GEA, IHBCE]	Strong
DicA	insD-7	-	[GEA]	Weak
DicA	intQ	-	[GEA]	Weak
DicA	ydfD	-	[GEA]	Weak
DicA	ydfE	-	[GEA]	Weak
DicA	ydfW	-	[BPP, GEA, IHBCE]	Strong
DicA	ydfX	-	[BPP, GEA, IHBCE]	Strong
DinJ-YafQ	cspE	-	[BPP, GEA, SM]	Strong
DinJ-YafQ	dinJ	-	[BPP, HIBSCS, SM]	Strong
DinJ-YafQ	yafQ	-	[BPP, HIBSCS, SM]	Strong
DnaA	aldA	-	[BPP, GEA]	Strong
DnaA	dnaA	+-	[BPP, SM]	Strong
DnaA	dnaA	-	[BPP, GEA]	Strong
DnaA	dnaN	+-	[BPP, SM]	Strong
DnaA	dnaN	-	[BPP, GEA]	Strong
DnaA	guaA	-	[BPP, GEA, HIBSCS]	Strong
DnaA	guaB	-	[BPP, GEA, HIBSCS]	Strong
DnaA	nrdA	+	[BPP, HIBSCS, SM]	Strong
DnaA	nrdA	-	[HIBSCS]	Weak
DnaA	nrdB	+	[BPP, HIBSCS, SM]	Strong
DnaA	nrdB	-	[HIBSCS]	Weak
DnaA	polA	+	[BPP, GEA]	Strong
DnaA	recF	+-	[BPP, SM]	Strong
DnaA	recF	-	[BPP, GEA]	Strong
DnaA	recN	-	[GEA, ICA]	Weak
DnaA	rpoH	-	[BCE, HIBSCS]	Weak
DnaA	uvrB	-	[BPP, GEA, ICA, SM]	Strong
DnaA	yfaE	+	[BPP, HIBSCS, SM]	Strong
DnaA	yfaE	-	[HIBSCS]	Weak
DnaA	yjeV	-	[BPP, GEA]	Strong
DpiA	appY	-	[GEA, HIBSCS]	Weak
DpiA	citC	+	[BPP, GEA, HIBSCS]	Strong
DpiA	citD	+	[BPP, GEA, HIBSCS]	Strong
DpiA	citE	+	[BPP, GEA, HIBSCS]	Strong
DpiA	citF	+	[BPP, GEA, HIBSCS]	Strong
DpiA	citG	+	[BPP, GEA, HIBSCS]	Strong
DpiA	citX	+	[BPP, GEA, HIBSCS]	Strong
DpiA	dpiA	+	[BPP, GEA, HIBSCS]	Strong
DpiA	dpiB	+	[BPP, GEA, HIBSCS]	Strong
DpiA	exuT	+	[BPP, GEA]	Strong
DpiA	mdh	+	[BPP, GEA]	Strong
DsdC	dsdA	+	[GEA]	Weak
DsdC	dsdC	-	[GEA]	Weak
DsdC	dsdX	+	[GEA]	Weak
EbgR	ebgA	-	[GEA]	Weak
EbgR	ebgC	-	[GEA]	Weak
EnvR	acrA	-	[AIBSCS, BPP, GEA]	Weak
EnvR	acrB	-	[AIBSCS, BPP, GEA]	Weak
EnvY	ompC	+	[IMP]	Weak
EnvY	ompF	+	[IMP]	Weak
EvgA	acrD	+	[AIBSCS, GEA]	Weak
EvgA	emrK	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
EvgA	emrY	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
EvgA	evgA	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
EvgA	evgS	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak
EvgA	frc	+	[AIBSCS, BPP, GEA]	Weak
EvgA	gadE	+	[BPP, GEA]	Strong
EvgA	gadF	+	[BPP, GEA]	Strong
EvgA	mdtE	+	[BPP, GEA]	Strong
EvgA	mdtF	+	[BPP, GEA]	Strong
EvgA	oxc	+	[AIBSCS, BPP, GEA]	Weak
EvgA	safA	+	[AIBSCS, BPP, GEA]	Weak
EvgA	ydeO	+	[AIBSCS, BPP, GEA]	Weak
EvgA	ydeP	+	[AIBSCS, BPP, GEA]	Weak
EvgA	yegR	+	[AIBSCS, BPP, GEA]	Weak
EvgA	yegZ	+	[AIBSCS, BPP, GEA]	Weak
EvgA	yfdE	+	[AIBSCS, BPP, GEA]	Weak
EvgA	yfdV	+	[AIBSCS, BPP, GEA]	Weak
EvgA	yfdX	+	[AIBSCS, BPP, GEA]	Weak
ExuR	exuR	-	[BPP, GEA, HIBSCS]	Strong
ExuR	exuT	-	[AIBSCS, GEA]	Weak
ExuR	lgoR	-	[BPP]	Strong
ExuR	uxaA	-	[AIBSCS, GEA]	Weak
ExuR	uxaB	-	[GEA, HIBSCS]	Weak
ExuR	uxaC	-	[AIBSCS, GEA]	Weak
ExuR	uxuA	-	[GEA, HIBSCS]	Weak
ExuR	uxuB	-	[GEA, HIBSCS]	Weak
ExuR	uxuR	-	[AIBSCS, GEA]	Weak
FNR	aceE	+-	[AIBSCS, BCE, GEA]	Weak
FNR	aceE	-	[GEA]	Weak
FNR	aceF	+-	[AIBSCS, BCE, GEA]	Weak
FNR	aceF	-	[GEA]	Weak
FNR	ackA	+	[GEA]	Weak
FNR	acnA	-	[GEA, HIBSCS]	Weak
FNR	acrE	+	[AIBSCS, GEA]	Weak
FNR	acrF	+	[AIBSCS, GEA]	Weak
FNR	adhE	+	[GEA, HIBSCS]	Weak
FNR	aer	+	[AIBSCS, GEA]	Weak
FNR	aldA	-	[AIBSCS, GEA]	Weak
FNR	amtB	+-	[GEA]	Weak
FNR	ansB	+	[BCE, SM]	Weak
FNR	arcA	+	[GEA, HIBSCS]	Weak
FNR	arcA	-	[GEA, HIBSCS]	Weak
FNR	aspA	+	[GEA, HIBSCS]	Weak
FNR	aspC	+-	[GEA]	Weak
FNR	bcsB	+	[AIBSCS, GEA]	Weak
FNR	bcsZ	+	[AIBSCS, GEA]	Weak
FNR	cadC	+	[AIBSCS, GEA]	Weak
FNR	caiA	+	[AIBSCS, GEA]	Weak
FNR	caiB	+	[AIBSCS, GEA]	Weak
FNR	caiC	+	[AIBSCS, GEA]	Weak
FNR	caiD	+	[AIBSCS, GEA]	Weak
FNR	caiE	+	[AIBSCS, GEA]	Weak
FNR	caiF	+	[BCE, GEA]	Weak
FNR	caiT	+	[AIBSCS, GEA]	Weak
FNR	ccmA	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmB	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmC	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmD	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmE	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmF	+	[GEA, HIBSCS, SM]	Weak
FNR	ccmG	+	[GEA, HIBSCS, SM]	Weak
