b_number	dN/dS	dN	dS
b1596	0.01621	0.0001	0.0031
b1597	NA	NA	NA
b4601	NA	NA	NA
b1598	0.61792	0.0506	0.0819
b1599	0.1163	0.0193	0.1656
b1600	0.22979	0.126	0.5485
b1601	NA	NA	NA
b1602	NA	NA	NA
b1603	0.05643	0.0137	0.2422
b1604	0.1236	0.0562	0.455
b1605	0.03954	0.0145	0.3671
b1606	NA	NA	NA
b1607	0.13857	0.0363	0.2622
b1608	0.10346	0.0323	0.3123
b1609	0.08009	0.0302	0.3774
b1610	0.07245	0.0376	0.519
b1611	0.06735	0.0323	0.4791
b1612	0.01872	0.0095	0.51
b1613	0.1549	0.0613	0.3958
b1614	0.11026	0.0473	0.4292
b1615	NA	NA	NA
b1616	0.0885	0.0223	0.2525
b1617	NA	NA	NA
b1618	0.06193	0.0144	0.2325
b1619	0.07719	0.0342	0.4434
b1620	NA	NA	NA
b1621	NA	NA	NA
b1622	NA	NA	NA
b1623	0.22906	0.0535	0.2337
b1624	0.09887	0.035	0.3536
b4409	0.47396	1.473	3.1078
b1625	0.0908	0.014	0.1545
b1626	NA	NA	NA
b1627	0.03259	0.0077	0.2361
b1628	0.15382	0.0264	0.1715
b1629	NA	NA	NA
b1630	0.21167	0.0579	0.2734
b1631	0.18322	0.042	0.2295
b1632	0.24496	0.054	0.2204
b1633	NA	NA	NA
b1634	0.03963	0.0105	0.2653
b1635	0.17981	0.0336	0.1869
b1636	0.06364	0.0183	0.2869
b1637	0.02351	0.0038	0.1616
b1638	0.11565	0.0287	0.2479
b1639	0.09291	0.0482	0.5191
b1640	0.17318	0.0426	0.2458
b1641	0.0001	0	0.0017
b1642	0.05598	0.0076	0.1357
b1643	NA	NA	NA
b1644	999	0.0631	0.0001
b1645	0.07507	0.0335	0.4458
b1646	0.14551	0.0342	0.2348
b1647	0.06362	0.0294	0.4624
b1648	NA	NA	NA
b1649	0.14542	0.0502	0.345
b1650	0.0686	0.0358	0.5217
b1651	0.04478	0.0109	0.2444
b1652	0.05662	0.0158	0.2787
b1653	0.20233	0.0541	0.2675
b1654	0.0001	0	0.184
b1655	0.13256	0.0339	0.2558
b1656	0.03917	0.0077	0.1965
b1657	0.08199	0.0256	0.3124
b4602	0.0001	0	0.116
b1658	0.03701	0.0178	0.482
b1659	0.09432	0.0381	0.4034
b1660	0.07164	0.0302	0.4213
b1661	0.03117	0.0118	0.379
b1662	0.05947	0.0239	0.4011
b1663	0.04958	0.026	0.5242
b1664	0.09502	0.0589	0.6199
b1665	NA	NA	NA
b1666	NA	NA	NA
b1667	NA	NA	NA
b1668	NA	NA	NA
b1669	0.20154	0.0641	0.3179
b1670	NA	NA	NA
b1671	0.15665	0.0582	0.3714
b1672	0.35304	0.1026	0.2906
b1673	NA	NA	NA
b1674	0.11174	0.033	0.2953
b1675	NA	NA	NA
b1676	NA	NA	NA
b1677	1.40662	0.0003	0.0002
b1678	0.12349	0.0615	0.4981
b1679	0.09272	0.0536	0.5782
b1680	NA	NA	NA
b1681	0.10573	0.0441	0.4168
b1682	0.12249	0.0488	0.3982
b1683	0.14272	0.0783	0.5486
b1684	0.07887	0.0278	0.3528
b4430	NA	NA	NA
b1685	0.06581	0.016	0.243
b1686	0.15029	0.0527	0.3504
b1687	0.07071	0.0422	0.5968
b1688	NA	NA	NA
b4431	NA	NA	NA
b1689	NA	NA	NA
b1690	0.22303	0.0689	0.3089
b1691	0.11633	0.0349	0.3004
b1692	0.08117	0.0321	0.3958
b1693	0.11436	0.0346	0.3021
b1694	NA	NA	NA
b1695	0.04476	0.0222	0.4961
b1696	0.13314	0.0291	0.2185
b1697	0.42217	0.0766	0.1815
b1698	0.22891	0.0645	0.2819
b1699	0.12635	0.0825	0.6528
b1700	0.08949	0.0638	0.7134
b1701	0.10461	0.0766	0.7323
b1702	0.02629	0.0166	0.6309
b1703	NA	NA	NA
b1704	0.0627	0.0242	0.3866
b1705	0.21791	1.0841	4.9752
b1706	1.00408	0.0977	0.0973
b1707	NA	NA	NA
b1708	0.09327	0.0292	0.3133
b1709	0.08644	0.0293	0.3391
b1710	0.19057	0.051	0.2678
b1711	0.12214	0.0344	0.2821
b1712	NA	NA	NA
b1713	0.05584	0.0269	0.4823
b1714	0.02987	0.0111	0.3726
b1715	NA	NA	NA
b1716	0.11773	0.0082	0.0697
b1717	NA	NA	NA
b1718	NA	NA	NA
b1719	0.02849	0.0103	0.3601
b4494	NA	NA	NA
b4535	NA	NA	NA
b1722	0.05481	0.0156	0.2843
b1723	NA	NA	NA
b1724	0.11544	0.0329	0.285
b1725	NA	NA	NA
b1726	0.08561	0.0201	0.2352
b1727	0.08542	0.0235	0.2752
b1728	0.04978	0.0125	0.2519
b1729	0.08734	0.0269	0.3084
b1730	0.13137	5.8823	44.7775
b1731	NA	NA	NA
b1732	0.04369	0.0304	0.6956
b1733	0.13177	0.1116	0.8467
b1734	0.10363	0.0373	0.3597
b1735	0.10259	0.025	0.2435
b1736	NA	NA	NA
b1737	NA	NA	NA
b1738	999	0.0131	0
b1739	0.17414	0.0184	0.1057
b1740	0.10186	0.0408	0.4009
b1741	0.12428	0.0913	0.7348
b1742	0.09543	0.0514	0.5389
b1743	0.46162	0.0436	0.0945
b1744	0.07957	0.0383	0.4813
b1745	0.10906	0.1151	1.0558
b1746	NA	NA	NA
b1747	0.03395	0.0204	0.602
b1748	0.12195	0.082	0.6721
b1749	0.06417	0.0402	0.6263
b1750	0.16994	0.2421	1.4244
b1751	NA	NA	NA
b1752	0.15785	0.1047	0.6631
b1753	0.10701	0.0588	0.5499
b1754	0.14048	0.1024	0.729
b1755	0.23183	0.1677	0.7233
b1756	0.22155	0.1389	0.6267
b1757	0.07763	0.0625	0.8048
b1758	0.05915	0.0741	1.253
b1759	0.30302	0.0763	0.2518
b1760	0.52071	2.4625	4.7291
b1761	0.02607	0.015	0.5749
b1762	NA	NA	NA
b1763	0.07965	0.0775	0.9727
b1764	0.0154	0.0113	0.7322
b1765	0.04448	0.0205	0.4601
b1766	0.06512	0.0295	0.4526
b1767	NA	NA	NA
b1768	0.16025	0.06	0.3745
b1769	0.08841	0.0419	0.4737
b1770	NA	NA	NA
b1771	0.13286	0.032	0.2412
b1772	NA	NA	NA
b1773	0.13128	0.0357	0.2721
b1774	0.24844	0.0841	0.3385
b1775	NA	NA	NA
b1776	NA	NA	NA
b1777	0.20659	0.0636	0.3076
b1778	0.08467	0.0353	0.417
b1779	0.04296	0.0056	0.1308
b1780	0.20232	0.0642	0.3174
b1781	0.2875	0.081	0.2816
b1782	0.04217	0.0066	0.1576
b1783	NA	NA	NA
b1784	0.03334	0.0163	0.4877
b1785	0.14056	0.0284	0.2022
b1786	NA	NA	NA
b1787	0.13135	0.0402	0.3061
b1788	1.3852	53.889	38.9034
b1789	0.52003	0.0822	0.158
b1790	0.20645	0.0684	0.3315
b1791	0.12569	0.0565	0.4492
b1792	0.31568	0.056	0.1775
b1793	0.74029	0.0841	0.1137
b1794	0.0471	0.0198	0.421
b4676	NA	NA	NA
b4675	NA	NA	NA
b1795	0.0001	0	0.2297
b1796	NA	NA	NA
b1797	0.11717	0.0323	0.2754
b1798	0.13237	0.0373	0.2817
b1799	0.69169	0.0619	0.0896
b1800	0.09606	0.023	0.2396
b1801	0.0569	0.0193	0.3395
b1802	0.07312	0.0217	0.2967
b1803	0.56069	1.3861	2.4721
b1804	0.09601	0.0316	0.3288
b1805	0.01188	0.0071	0.5954
b1806	0.08026	0.0455	0.5674
b1807	0.0704	0.0724	1.0282
b1808	0.03241	0.0235	0.7246
b1809	0.0639	0.0286	0.448
b1810	0.22055	0.0629	0.2853
b1811	NA	NA	NA
b1812	0.2092	0.0859	0.4105
b1813	0.07753	0.0325	0.419
b1814	0.0386	0.0124	0.3211
b1815	0.14217	0.0397	0.2791
b1816	0.01779	0.0035	0.1956
b1817	0.06488	0.0118	0.1815
b1818	0.01679	0.0035	0.2112
b1819	0.05126	0.021	0.4099
b1820	0.17237	0.0421	0.244
b1821	0.05439	0.0184	0.3391
b1822	0.26223	0.0762	0.2907
b1823	0.06041	0.0071	0.1171
b1824	1.69321	1.6725	0.9878
b1825	0.0986	0.0209	0.2123
b1826	0.19561	0.0336	0.1718
b4536	NA	NA	NA
b1827	0.26988	0.0921	0.3413
b1828	0.12498	0.0375	0.2998
b1829	0.02667	0.0086	0.3218
b1830	0.03257	0.0162	0.497
b1831	0.0001	0	0.0795
b1832	0.08276	0.0338	0.4087
b1833	0.04975	0.033	0.6636
b1834	0.02177	0.0177	0.813
b1835	0.14282	0.1045	0.7314
b1836	0.07785	0.0111	0.1428
b1837	0.14621	0.0375	0.2562
b1838	0.33671	0.0919	0.2728
b4432	NA	NA	NA
b4433	NA	NA	NA
b1839	0.12087	0.0582	0.4815
b1840	0.27274	0.0668	0.245
b1841	NA	NA	NA
b1842	0.12834	0.0185	0.1438
b1843	0.09572	0.0329	0.3441
b1844	0.08683	0.0215	0.2474
b1845	0.06393	0.0368	0.5758
b1846	0.1332	0.0432	0.324
b1847	0.09667	0.0186	0.1924
b1848	0.08458	0.0142	0.1678
b1849	0.15217	0.0697	0.4581
b1850	0.15419	0.0235	0.1524
b1851	0.02725	0.0088	0.3217
b1852	0.02381	0.009	0.3774
b1853	0.03104	0.0129	0.4147
b1854	0.03061	0.0129	0.422
b1855	0.12274	0.0373	0.3035
b1856	0.15823	0.0281	0.1776
b1857	0.21525	0.0508	0.236
b1858	0.04937	0.0161	0.3253
b1859	0.04568	0.0293	0.6409
b1860	0.01456	0.0085	0.5844
b1861	0.01577	0.008	0.5097
b4677	1.36503	56.9309	41.7067
b1862	0.0929	0.171	1.8402
b1863	0.06359	0.0437	0.6868
b1864	0.00866	0.0038	0.4419
b1865	0.09532	0.0453	0.4751
b1866	0.00525	0.0024	0.4668
b1867	0.0546	0.0455	0.8335
b1868	NA	NA	NA
b1869	0.0592	0.016	0.2699
b1870	0.04926	0.0155	0.3141
b1871	0.03272	0.0331	1.0108
b1872	0.07005	0.0631	0.9015
b1873	0.20413	0.0841	0.4118
b1874	NA	NA	NA
b1875	0.12141	0.0642	0.5285
b1876	0.26625	0.0414	0.1556
b1877	NA	NA	NA
b1878	0.22823	0.2106	0.9227
b1879	0.03411	0.0244	0.7152
b1880	0.05446	0.0334	0.6131
b1881	0.03452	0.0116	0.3359
b1882	0.24171	0.0775	0.3206
b1883	0.03985	0.0193	0.4834
b1884	0.15273	0.044	0.2881
b1885	0.31714	0.0752	0.2371
b1886	NA	NA	NA
b1887	0.03633	0.0089	0.2454
b1888	0.07304	0.0327	0.448
b1889	0.0629	0.0228	0.362
b1890	0.11104	0.0274	0.2466
b1891	0.18758	0.0285	0.1521
b1892	0.04294	0.0052	0.122
b1893	0.0001	0	0.0715
b1894	NA	NA	NA
b1895	0.25502	0.0455	0.1784
b1896	0.09559	0.0329	0.3446
b1897	0.08513	0.0305	0.3582
b4460	0.01018	0.0039	0.3865
b1900	NA	NA	NA
b1901	0.02429	0.0141	0.579
b1902	0.08546	0.0205	0.2398
b4537	0.21373	0.076	0.3555
b4663	NA	NA	NA
b1904	1.98065	3.078	1.554
b1905	0.1137	0.0195	0.1719
b1906	0.14594	0.0564	0.3867
b1907	0.07197	0.0306	0.4249
b1908	0.09252	0.0314	0.3393
b1909	NA	NA	NA
b1910	NA	NA	NA
b1911	NA	NA	NA
b1912	0.00957	0.003	0.3109
b1913	0.1297	0.0864	0.6661
b1914	NA	NA	NA
b1915	NA	NA	NA
b1916	0.09164	0.032	0.3493
b1917	0.06411	0.0339	0.5284
b1918	0.01203	0.0082	0.6821
b1919	0.09466	0.0417	0.4405
b1920	0.04827	0.0251	0.5203
b1921	0.36893	0.1149	0.3115
b1922	NA	NA	NA
b1923	NA	NA	NA
b1924	0.07622	0.6562	8.6095
b1925	0.16926	1.8075	10.6786
b1926	0.3051	0.1061	0.3477
b1927	0.03479	0.0262	0.7521
b1928	0.07103	0.0302	0.4257
b1929	0.08235	0.0381	0.4625
b1930	0.03901	0.0104	0.2657
b1931	0.13192	0.0786	0.596
b1932	NA	NA	NA
b4495	NA	NA	NA
b1936	NA	NA	NA
b1937	0.12622	0.0522	0.4134
b1938	NA	NA	NA
b1939	0.02737	0.013	0.475
b1940	0.1116	0.065	0.5825
b1941	0.02098	0.6297	30.0094
b1942	0.14761	0.0332	0.2248
b1943	0.17343	0.1149	0.6628
b1944	0.14903	0.0444	0.2977
b1945	0.0167	0.0085	0.5115
b1946	0.08765	0.0539	0.615
b1947	0.1121	0.0595	0.5312
b1948	0.04348	0.0291	0.6686
b1949	0.02128	0.9306	43.7274
b1950	NA	NA	NA
b1951	0.10793	0.019	0.1762
b1952	0.0001	0	0.0588
b1953	0.13376	0.0173	0.1293
b1954	NA	NA	NA
b1955	0.17021	0.0864	0.5075
b1956	NA	NA	NA
b1957	0.14743	0.0499	0.3384
b1958	0.0585	0.0329	0.5616
b1959	0.06805	0.0295	0.4332
b1960	0.12449	0.1004	0.8065
b1961	0.07307	0.0467	0.6395
b1962	0.29794	0.1429	0.4795
b1963	NA	NA	NA
b4603	NA	NA	NA
b4496	NA	NA	NA
b1967	0.12869	0.0882	0.6857
b1968	0.1365	0.1076	0.7881
b1969	0.05667	0.0292	0.516
b1970	0.06791	0.0365	0.5371
b1971	0.06858	0.0303	0.4416
b1972	0.22298	0.085	0.381
b1973	0.06762	0.0393	0.5808
b1974	0.16577	0.0464	0.2802
b1975	NA	NA	NA
b1976	0.18891	0.0479	0.2536
b1977	0.0001	0	0.0004
b1978	NA	NA	NA
b4497	NA	NA	NA
b1981	0.06105	0.0319	0.5219
b1982	0.02111	0.0118	0.5589
b1983	0.06469	0.0306	0.4729
b1984	NA	NA	NA
b1985	NA	NA	NA
b1986	0.0001	0	0.0004
b1987	NA	NA	NA
b1988	0.07891	0.0369	0.4672
b1989	0.0001	0	0.0005
b1990	0.19697	0.1269	0.644
b1991	0.26198	0.0831	0.3172
b1992	0.17622	0.044	0.2497
b1993	0.22292	0.0563	0.2525
b4639	NA	NA	NA
b1994	1.1776	2.8577	2.4267
b4640	0.59762	0.8907	1.4904
b4641	NA	NA	NA
b4582	1.42233	19.6864	13.8409
b1996	0.17817	0.0393	0.2204
b1997	1.46076	1.0903	0.7464
b1999	0.17252	0.7347	4.2586
b4435	NA	NA	NA
b2000	NA	NA	NA
b2001	NA	NA	NA
b2002	0.04492	0.0693	1.5438
b2003	0.19541	3.9639	20.2854
b2004	0.35265	0.7374	2.0912
b2005	NA	NA	NA
b2006	NA	NA	NA
b4642	NA	NA	NA
b4538	NA	NA	NA
b2007	0.0001	0	0.1683
b2008	0.1109	0.048	0.433
b2009	0.17117	0.0846	0.4943
b2010	0.0863	0.0457	0.5295
b2011	0.07279	0.0844	1.1588
b2012	NA	NA	NA
b2013	0.22704	0.0876	0.3857
b2014	0.05736	0.0258	0.4505
b4678	NA	NA	NA
b2015	NA	NA	NA
b2016	0.05067	0.0281	0.5556
b4539	2.25144	3.7643	1.672
b2017	0.09272	0.0274	0.2957
b2018	NA	NA	NA
b2019	0.01875	0.0229	1.222
b2020	0.07383	0.1673	2.2665
b2021	0.0695	0.1505	2.1653
b2022	0.03412	0.1011	2.9639
b2023	0.03377	0.0858	2.5415
b2024	0.04921	0.1278	2.5978
b2025	0.04639	0.1011	2.1783
b2026	0.05465	0.2072	3.7918
b2027	0.09152	0.4946	5.4046
b2028	0.04208	0.26	6.1786
b2029	0.0295	0.161	5.457
b4571	NA	NA	NA
b2030	0.0001	0	0.0034
b2032	NA	NA	NA
b2033	1.05236	6.8015	6.463
b2034	NA	NA	NA
b2035	1.53499	38.795	25.2737
b2036	NA	NA	NA
b2037	NA	NA	NA
b2038	0.74944	5.5762	7.4406
b2039	0.02457	0.4549	18.5142
b2040	NA	NA	NA
b2041	0.04872	0.4427	9.0878
b2042	0.02674	0.1959	7.3268
b2043	0.07932	0.2174	2.7405
b2044	0.0582	0.1549	2.6611
b2045	0.05649	0.1006	1.7803
b2046	NA	NA	NA
b2047	0.02005	0.0377	1.8777
b2048	NA	NA	NA
b2049	0.02173	0.575	26.4611
b2050	0.08252	0.0969	1.1745
b2051	NA	NA	NA
b2052	NA	NA	NA
b2053	0.01585	0.1166	7.3574
b2054	0.11551	0.1743	1.5093
b2055	0.10252	0.27	2.6335
b2056	0.05348	0.0984	1.8399
b2057	NA	NA	NA
b2058	0.06028	0.1556	2.5811
b2059	0.03265	0.1159	3.5501
b2060	0.06744	0.1746	2.5887
b2061	0.12107	0.0654	0.5406
b2062	NA	NA	NA
b2063	0.04822	0.0421	0.8727
b2064	0.09317	0.0781	0.8377
b2065	0.02116	0.0074	0.3498
b2066	0.02959	0.0085	0.2864
b2067	NA	NA	NA
b2068	0.22532	0.1708	0.7579
b2069	0.07202	0.0578	0.8027
b2070	NA	NA	NA
b2071	0.86941	2.0441	2.3511
b2072	0.23452	0.2337	0.9967
b2073	0.06683	0.0577	0.8639
b4436	NA	NA	NA
b4667	NA	NA	NA
b4437	NA	NA	NA
b4668	NA	NA	NA
b2074	NA	NA	NA
b2075	NA	NA	NA
b2076	NA	NA	NA
b2077	0.07395	0.0753	1.0181
b2078	0.04866	0.0463	0.9516
b2079	0.03494	0.0226	0.6457
b2080	NA	NA	NA
b2081	0.02931	0.015	0.5125
b4438	0.98185	18.443	18.7839
b2082	NA	NA	NA
b2083	NA	NA	NA
b2085	0.09864	0.0613	0.6218
b2086	0.10722	0.0633	0.59
b4498	NA	NA	NA
b2088	NA	NA	NA
b2089	0.16208	1.5136	9.3382
b2091	NA	NA	NA
b2092	NA	NA	NA
b2093	NA	NA	NA
b2094	NA	NA	NA
b2095	NA	NA	NA
b2096	0.14047	0.3679	2.619
b2097	NA	NA	NA
b2098	0.04202	0.0246	0.5853
b2099	0.11772	0.0813	0.6908
b2100	0.13439	0.0976	0.7262
b2101	0.04981	0.0266	0.5338
b2102	0.12304	0.138	1.1216
b2103	0.09855	0.0373	0.378
b2104	NA	NA	NA
b2105	0.02396	0.01	0.4158
b2106	0.07832	0.0515	0.6581
b2107	0.06867	0.024	0.3498
b2108	NA	NA	NA
b2109	0.13234	0.4248	3.2099
b2110	NA	NA	NA
b2111	NA	NA	NA
b2112	0.12528	0.3808	3.0393
b2113	0.01752	0.0077	0.4381
b2114	0.02821	0.0244	0.8645
b4499	NA	NA	NA
b2118	NA	NA	NA
b4541	NA	NA	NA
b2119	0.03661	0.0398	1.0866
b2120	NA	NA	NA
b2121	0.10382	0.0977	0.9415
b2122	0.17331	0.2095	1.2088
b2123	0.14252	0.0467	0.3277
b2124	0.07978	0.0268	0.3362
b2125	0.02548	0.0119	0.4681
b2126	0.03472	0.012	0.3448
b2127	0.18097	0.0885	0.4889
b4542	NA	NA	NA
b2128	0.10722	0.058	0.541
b2129	NA	NA	NA
b2130	0.12621	0.0781	0.6191
b2131	0.10577	0.0914	0.8641
b2132	0.01922	0.0172	0.8965
b2133	0.04646	0.0232	0.4986
b2134	0.07924	0.0209	0.2643
b2135	0.0001	0	0.3972
b2136	0.07743	0.0266	0.3439
b2137	0.09148	0.078	0.8526
b2139	NA	NA	NA
b4679	NA	NA	NA
b2140	0.0645	0.0361	0.5598
b2141	0.14186	0.0291	0.2051
b2142	0.03483	0.0131	0.3763
b2143	0.06999	0.0157	0.2247
b2144	0.02526	0.0097	0.3823
b2145	0.20447	0.0501	0.2448
b2146	0.15524	0.0937	0.6035
b2147	0.06024	0.0333	0.553
b2148	0.00504	0.0035	0.702
b2149	0.02899	0.0173	0.5959
b2150	0.03385	0.0137	0.4053
b2151	NA	NA	NA
b2152	0.14523	0.0775	0.5333
b2153	0.00651	0.0022	0.3336
b2154	0.06065	0.0592	0.9768
b2155	NA	NA	NA
b2156	0.02163	0.0078	0.3594
b2157	NA	NA	NA
b2158	0.02937	0.0041	0.1387
b2159	0.10779	0.0359	0.3331
b2160	0.125	0.144	1.1522
b2161	NA	NA	NA
b2162	0.03241	0.0268	0.8258
b2163	NA	NA	NA
b2164	NA	NA	NA
b2165	NA	NA	NA
b2166	0.07444	0.114	1.5317
b2167	0.09785	0.0512	0.5235
b2168	0.03554	0.0061	0.1707
b2169	0.12925	0.0347	0.2682
b2170	0.07198	0.0204	0.2831
b4502	NA	NA	NA
b2171	0.0112	0.0025	0.2229
b2172	0.13165	0.0523	0.3974
b2173	0.2117	0.0574	0.271
b2174	NA	NA	NA
b2175	0.0001	0	0.1893
b2176	0.05339	0.0256	0.4799
b2177	0.0819	0.0378	0.4616
b2178	0.07144	0.0286	0.4
b2179	0.05212	0.0243	0.4656
b2180	0.13772	0.0439	0.3185
b2181	0.11599	0.0204	0.1758
b2182	0.03618	0.0222	0.613
b2183	0.02837	0.0124	0.4373
b2184	0.0423	0.0292	0.6903
b2185	0.27686	0.0404	0.146
b2186	0.02228	0.0143	0.6406
b2187	1.26959	0.0196	0.0155
b2188	0.01811	0.0065	0.3589
b2189	NA	NA	NA
b2190	NA	NA	NA
b2192	999	0.0029	0
b2193	0.04985	0.0138	0.2767
b2194	0.08988	0.0499	0.5553
b2195	NA	NA	NA
b2196	0.02901	0.023	0.7938
b2197	0.02443	0.0156	0.6399
b2198	0.07187	0.0164	0.2285
b2199	NA	NA	NA
b2200	0.03902	0.0164	0.4199
b2201	0.24031	0.0478	0.1989
b2202	0.06222	0.0094	0.1514
b2203	0.13364	0.0192	0.1438
b2204	0.07913	0.0256	0.3239
b2205	0.0292	0.01	0.3418
b2206	999	0.0004	0
b2207	0.1413	0.0125	0.0884
b2208	0.67183	0.8996	1.3391
b2209	0.2368	0.0659	0.2781
b2210	0.07308	0.0342	0.4676
b2211	0.0623	0.045	0.7222
b2212	NA	NA	NA
b2213	NA	NA	NA
b2214	0.11375	0.0714	0.628
b2215	0.02133	0.023	1.0767
b4439	NA	NA	NA
b2216	0.08158	0.0284	0.3482
b2217	0.01428	0.0044	0.3114
b2218	NA	NA	NA
b2219	NA	NA	NA
b2220	0.06819	0.0193	0.2836
b2221	NA	NA	NA
b2222	0.27999	1.7512	6.2546
b2223	1.43043	1.3477	0.9422
b2224	0.06272	0.041	0.6531
b2225	0.09459	0.0634	0.6704
b2226	0.1657	0.099	0.5975
b4500	NA	NA	NA
b2229	0.14955	0.0743	0.4967
b2230	0.14961	0.1095	0.7319
b2231	0.02919	0.017	0.5832
b2232	NA	NA	NA
b2233	0.42497	0.2438	0.5737
b2234	0.01766	0.0091	0.5167
b2235	0.01318	0.01	0.7621
b2236	0.10295	0.0513	0.498
b2237	0.14989	0.0537	0.358
b2238	NA	NA	NA
b2239	0.05249	0.0364	0.694
b2240	0.02067	0.0102	0.4919
b2241	0.04625	0.0389	0.8406
b2242	0.09378	0.0866	0.9233
b2243	0.03932	0.0263	0.6701
b2244	0.14383	0.0751	0.5221
b4543	NA	NA	NA
b2245	NA	NA	NA
b2246	0.12695	1.4494	11.417
b2247	0.11483	0.0295	0.2571
b2248	1.14946	1.9816	1.7239
b2249	0.13524	0.056	0.4143
b2250	0.05654	0.0415	0.7336
b2251	0.17925	0.056	0.3124
b2252	NA	NA	NA
b2253	0.28989	0.0905	0.3121
b2254	NA	NA	NA
b2255	NA	NA	NA
b2256	0.14338	0.052	0.3623
b2257	0.13499	0.0463	0.3429
b4544	0.27517	0.0398	0.1445
b2258	0.14217	0.0449	0.3161
b2259	NA	NA	NA
b2260	0.12461	0.0962	0.7718
b2261	0.12337	0.0993	0.8048
b2262	0.01178	0.0101	0.8613
b2263	0.27761	0.1199	0.432
b2264	0.05863	0.0423	0.7222
b2265	0.11081	0.0571	0.5155
b2266	0.04326	0.0095	0.2195
b2267	0.11562	0.1274	1.1023
b2268	0.17649	0.0891	0.5051
b2269	NA	NA	NA
b2270	0.25296	0.1015	0.4014
b2271	NA	NA	NA
b2272	0.18532	0.1652	0.8915
b2273	0.03964	11.7782	297.1147
b2274	0.95434	3.5679	3.7386
b2275	NA	NA	NA
b2276	0.01701	0.0101	0.5946
b2277	0.01563	0.0084	0.5386
b2278	0.0324	0.0189	0.5823
b2279	0.03336	0.0051	0.1543
b2280	0.01793	0.0054	0.3
b2281	0.01638	0.0026	0.158
b2282	0.01289	0.0043	0.3337
b2283	0.04177	0.0273	0.6528
b2284	0.01078	0.0117	1.0818
b2285	0.00842	0.0057	0.6818
b2286	0.01184	0.0061	0.5135
b2287	0.0001	0	0.258
b2288	0.20345	0.0195	0.0956
b2289	0.09185	0.0199	0.2167
b2290	0.02722	0.0102	0.3736
b2291	0.10597	0.0375	0.3543
b2292	0.03078	0.0138	0.4483
b2293	0.10521	0.0386	0.367
b2294	0.02389	0.0055	0.2286
b2295	0.07135	0.016	0.2239
b2296	0.05119	0.0093	0.1813
b2297	0.04129	0.0142	0.3437
b2298	0.06509	0.024	0.3687
b2299	NA	NA	NA
b2300	0.08855	0.0232	0.2616
b2301	0.21097	0.0607	0.2876
b2302	0.06382	0.0357	0.5597
b2303	0.0556	0.0116	0.209
b2304	0.17748	0.1073	0.6046
b2305	0.19841	0.1539	0.7758
b2306	0.02455	0.0185	0.7546
b2307	0.01108	0.0093	0.8368
b2308	NA	NA	NA
b2309	0.02476	0.0114	0.4591
b2310	NA	NA	NA
b2311	0.04628	0.027	0.584
b2312	0.00619	0.0028	0.4576
b2313	0.07414	0.0125	0.169
b2314	0.11828	0.0605	0.5117
b2315	0.09468	0.0323	0.3416
b2316	0.02269	0.0074	0.3254
b2317	0.04228	0.0443	1.0488
b2318	0.04877	0.0209	0.4282
b2319	0.04729	0.0213	0.4509
b2320	0.07506	0.0641	0.8538
b2321	0.10668	0.313	2.9336
b2322	0.06904	0.1347	1.9517
b2323	0.01811	0.0108	0.596
b2324	0.14419	0.1653	1.1461
b2325	NA	NA	NA
b2326	NA	NA	NA
b2327	0.01896	0.0254	1.3419
b2328	0.07832	0.0574	0.7331
b2329	0.01288	0.0185	1.4393
b2330	0.04438	0.0874	1.9686
b2331	NA	NA	NA
b2332	0.19419	3.276	16.8706
b2333	NA	NA	NA
b2334	0.14488	1.9183	13.2408
b2335	0.1141	1.9016	16.6664
b2336	0.05305	0.2439	4.5974
b4661	NA	NA	NA
b2339	0.13022	0.5578	4.2838
b2340	0.08512	0.0532	0.625
b2341	0.11722	0.1017	0.8674
b2342	0.06744	0.0759	1.126
b2343	0.05447	0.0123	0.2251
b2344	0.0646	0.1807	2.7978
b2345	NA	NA	NA
b2346	0.0236	0.0131	0.5533
b2347	0.03289	0.0149	0.4528
b2348	NA	NA	NA
b2349	3.86159	7.041	1.8233
b2350	NA	NA	NA
b2351	NA	NA	NA
b2352	NA	NA	NA
b2353	4.53792	142.6736	31.4403
b2354	NA	NA	NA
b2355	1.09467	4.201	3.8377
b2356	NA	NA	NA
b2357	0.75786	4.1404	5.4633
b2358	NA	NA	NA
b2359	NA	NA	NA
b2360	0.18649	0.1912	1.0252
b2361	0.06259	0.3609	5.7665
b2362	NA	NA	NA
b2363	0.25943	4.9699	19.1572
b4545	NA	NA	NA
b4501	NA	NA	NA
b2364	0.13331	0.0623	0.4677
b2365	0.19231	0.0455	0.2367
b2366	NA	NA	NA
b2367	NA	NA	NA
b2368	NA	NA	NA
b2369	0.02622	0.0067	0.256
b2370	NA	NA	NA
b2371	0.0001	0	0.0007
b2372	0.00746	0.0032	0.4241
b2373	0.26513	0.1321	0.4982
b2374	0.08938	0.0258	0.2891
b2375	0.0541	0.0232	0.4288
b2376	0.83183	1.1779	1.4161
b2377	0.16761	0.065	0.3877
b2378	0.04379	0.0223	0.5102
b4680	NA	NA	NA
b2379	NA	NA	NA
b2380	0.01058	0.0085	0.8065
b2381	0.03828	0.0209	0.5466
b2382	0.16462	0.1117	0.6783
b2383	0.06141	0.055	0.895
b2384	0.05541	0.0546	0.9847
b2385	0.12954	0.0674	0.5204
