b_number,Gene.Name,MDS42CDS_length_bp,leftpos_mds42,rightpos_mds42,ave_pos,Strand,dNdS,dN,dS,lin_expression_NRG,protein_sequence_pecentage_difference_NRG,lin_average expression level_Shibai,lin_variance of  expression level_Shibai,lin_ave_M3DB,lin_sd_M3DB,lin_var_M3DB,syn.num,syn.tube,nons.num,nons.tube,inac.num,inac.tube,lin_Mean_Protein_n,lin_SD_Protein_n,lin_Noise_Protein_n,RunmedNoise_protein_n,SmoothSpline_n,SM_n,log10SmoothSpline_n,log10SM_n,lin_ave_protein_copy_schmidt,lin_var_protein_copy_schmidt,RunmedVar_env_protein,SmoothSpline_schmidt,log10SmoothSpline_schmidt,log10SM_schmidt,Essentiality,dN.dS.inter.species,dN.inter.species,dS.inter.species,alpha_max,Odmax,Ins_index_score,1R172,2R172,3R172,4R172,5R172,6R172,1R268,2R268,3R268,4R268,5R268,6R268,ANC,linaveR172,linaveR268
b1655,ydhO,816,1416018,1416833,1416425.5,plus,0.13256,0.0339,0.2558,NA,NA,399.1739623,47939.71557,246.4172588,78.79543376,6208.720382,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.677241159,0.750481006,0.995502884,1.011245176,0.004856463,-0.129516758,2,0.19443,0.1986,1.0213,NA,NA,NA,1857.061277,657.6416077,956.0814731,830.3657615,1441.291596,2253.112308,1743.236731,458.2740385,1461.637538,198.3752154,703.8345269,2030.954115,1477.146,1332.592337,1099.385361
b1656,sodB,582,1416961,1417542,1417251.5,plus,0.03917,0.0077,0.1965,81.22660462,0.051813472,3742.035024,5169507.158,3496.399844,2228.405121,4965789.371,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5129.114708,17333948.45,6428090.996,4734072.886,6.67523494,0.563662561,2,0.03248,0.03,0.9239,0.010131764,0.649812268,0.127147766,27708.45615,7802.573923,12267.16565,13561.72385,13561.72385,9773.851885,29387.62269,6405.545269,13324.54273,10489.07877,17998.10192,11869.62462,4761.521269,14112.58255,14912.41933
b1657,ydhP,1170,1417704,1418873,1418288.5,minus,0.08199,0.0256,0.3124,4.933409668,0.588541667,267.2170751,32026.98733,240.3994604,67.6666324,4578.773141,2,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02262,0.6665,29.4688,0.009154697,0.602301176,0.123076923,321.6560269,270.3050538,752.77675,396.7811808,414.2625269,473.5956462,288.1976769,269.6629769,543.8038231,396.2321462,395.1130308,349.4645538,352.4055538,438.2295308,373.7457013
b1658,purR,1026,1419427,1420452,1419939.5,plus,0.03701,0.0178,0.482,41.50687488,0.041055718,655.0420272,145564.1575,511.3796058,250.1547419,62577.39502,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,693.20274,28701.73024,83123.24381,84566.07913,4.927196195,-0.469288117,2,0.01942,0.0194,1,0.009506685,0.604684233,0.090643275,2037.440077,1998.729115,2707.102462,2401.635808,2341.802423,2028.9285,1679.227846,1839.928308,2203.186808,1900.881385,1884.757885,1956.756654,1590.952731,2252.606397,1910.789814
b1659,ydhB,933,1420449,1421381,1420915,minus,0.09432,0.0381,0.4034,8.521116367,0.090322581,174.2860166,24362.16431,259.1382707,54.21315504,2939.066183,2,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04394,0.0515,1.1714,0.010255844,0.636336067,0.098606645,231.5139808,1066.827838,439.3804577,282.5617169,336.2797423,345.1119346,268.8026154,1493.277,369.8231885,246.0961231,299.3996769,288.5855385,245.1562577,450.2792785,494.3306904
b1660,ydhC,1212,1421494,1422705,1422099.5,plus,0.07164,0.0302,0.4213,15.05345776,0.144638404,243.2226153,184191.2139,238.4351112,79.29304422,6287.386861,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05337,0.1039,1.9475,0.009502815,0.663846293,0.116336634,122.1502354,72.95431038,70.04722808,253.1459038,197.3298692,129.0842742,101.9223308,20.00057558,89.48435192,184.85725,426.4961,132.7641331,142.8250862,140.7853035,159.2541236
b1661,cfa,1149,1422996,1424144,1423570,plus,0.03117,0.0118,0.379,34.14849758,0.096858639,1724.76605,4006381.225,922.9765944,962.7635049,926913.5663,0,0,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,44.10765933,887.6926906,325.5437809,626.6777453,2.797044272,0.151218372,2,0.03342,0.0497,1.4875,0.009534766,0.614769646,0.127937337,12560.48554,3223.922038,871.4133808,3369.256192,4749.216615,1289.509919,18059.92115,3223.922038,1398.083165,2477.605808,5392.862,1666.277538,4163.801962,4343.967281,5369.778617
b1662,ribC,642,1424184,1424825,1424504.5,minus,0.05947,0.0239,0.4011,39.07752066,0.117370892,700.0959318,125303.2057,507.5909517,217.6613266,47376.4529,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,639.5035659,49247.49164,53079.88566,74244.60636,4.870664909,-0.178280794,1,0.04079,0.0767,1.8814,0,0,0.018691589,4656.894769,2635.141385,2648.407346,2802.439269,4002.097731,4721.640462,4968.292346,2885.940538,3133.819538,2799.998231,2121.213231,4213.009923,2997.892462,3577.77016,3353.712301
b1663,mdtK,1374,1425040,1426413,1425726.5,plus,0.04958,0.026,0.5242,9.310610862,0.074398249,376.8761919,116769.8018,342.9756533,270.1887522,73001.96153,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10.79316881,27.03700711,62.12973787,69.63839426,1.842848748,-0.410890133,2,0.02937,0.041,1.3961,0.009284255,0.633970259,0.118631732,938.8088731,625.8531154,468.0053769,499.2425115,578.2722308,629.5186692,588.2848269,468.9124808,455.0936385,393.2326154,721.6400692,503.76055,373.2498077,623.2834628,521.8206968
b1664,ydhQ,1257,1426454,1427710,1427082,minus,0.09502,0.0589,0.6199,NA,NA,878.6096663,269685.2152,514.5145609,258.637517,66893.36545,2,2,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,105.026081,4661.780273,2946.114493,2830.632524,3.451883492,0.216668307,2,NA,NA,NA,0.008359483,0.570605004,0.106603023,1790.087923,1608.147154,2629.178462,1301.613396,1229.636615,1677.569808,1236.526135,2045.426385,5445.291269,1182.115712,1084.269908,1752.196935,1916.5165,1706.038893,2124.30439
b1665,valV,77,1428018,1428094,1428056,plus,NA,NA,NA,NA,NA,NA,NA,535.6128627,372.8689099,139031.224,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1140.421608,1769.567385,1506.661973,1806.264269,1324.194458,674.3925346,1182.115712,985.0189654,882.9225962,445.1495538,842.0460385,627.0024731,891.4060538,1370.250371,827.3758897
b1666,valW,77,1428099,1428175,1428137,plus,NA,NA,NA,NA,NA,NA,NA,250.4792601,170.2661236,28990.55279,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1317.847927,1942.643731,1635.221615,1842.390769,1593.518,792.0179615,1324.194458,1204.24725,1097.61415,543.8038231,1002.462669,647.4956,1062.300562,1520.606667,969.9696583
b1667,ydhR,306,1428283,1428588,1428435.5,plus,NA,NA,NA,44.13440384,0.366336634,1724.226402,1675613.115,1074.893171,794.1543112,630681.0713,0,0,2,2,1,1,70.832,37.32,0.275862069,0.140548138,0.139075728,0.136786341,-0.856748657,0.297440646,3005.172113,715878.1885,1760918.081,1576530.622,6.197702411,-0.34286328,2,0.04766,0.2479,5.2019,0.009908034,0.619204426,0.071895425,2411.523654,1437.093827,2828.381538,1762.144538,3341.066923,1949.663231,2830.861038,1215.762919,2177.121808,1345.516919,2576.909731,1646.062077,1412.736442,2288.312285,1965.372415
b1668,ydhS,1605,1428714,1430318,1429516,plus,NA,NA,NA,NA,NA,204.9931561,104873.9793,184.2553247,74.62320524,5568.62276,0,0,8,3,0,0,18.178,8.619,0.219298246,0.188323917,0.178884402,0.040413844,-0.747427526,0.088462684,52.53083708,595.9894071,664.6026406,845.9259668,2.927332356,-0.152093816,2,NA,NA,NA,0.010108815,0.661290063,0.11152648,71.54080192,62.13417231,213.8863192,105.8186569,166.6468308,121.4619742,42.47084446,22.79308846,513.8758538,81.07200808,100.8457977,134.9416973,392.0495808,123.5814592,149.333215
b1669,ydhT,813,1430330,1431142,1430736,minus,0.20154,0.0641,0.3179,NA,NA,210.3463135,124552.6167,298.9117173,76.65488764,5875.971799,1,1,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.009228753,0.644127215,0.10701107,175.3760923,100.8457977,109.8829623,104.1892035,153.8600754,99.98040769,195.7669654,221.5454538,112.6523385,86.01311154,155.4233692,101.1251469,91.66196885,124.0224231,145.4210642
b1670,ydhU,786,1431146,1431931,1431538.5,minus,NA,NA,NA,3.051329359,0.419753086,183.3097875,51250.46522,173.9802867,57.57513941,3314.896674,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.00338,0.3931,116.3731,0.009963175,0.638471737,0.099236641,241.1648577,99.51867846,90.98950346,79.99512038,142.2088119,80.50045115,262.1117885,68.53064308,119.5397385,76.90748154,129.2259985,108.0282485,95.916225,122.3962372,127.3906497
b1671,ydhX,669,1431928,1432596,1432262,minus,0.15665,0.0582,0.3714,NA,NA,97.27521805,11964.97857,215.9679854,54.47708061,2967.752315,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.009718464,0.679616117,0.076233184,481.3436231,117.6348923,113.0231765,92.53653577,130.2703377,160.6985677,526.0188538,147.3066192,120.5782838,85.69844115,122.8482315,139.6754735,97.04989846,182.5845222,190.3543172
b1672,ydhW,648,1432660,1433307,1432983.5,minus,0.35304,0.1026,0.2906,NA,NA,133.8978933,22914.589,173.3224541,66.14047141,4374.561963,1,1,0,0,0,0,0.433,0.713,2.994011976,3.021148036,3.72838546,-0.734373484,0.571520806,-0.095267272,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.089506173,515.9475231,92.90494731,103.8592923,86.70551731,113.9398473,160.0668673,562.8120192,166.6468308,106.5163073,110.5490431,117.9163673,139.9179658,80.38026308,178.9039991,200.7264222
b1673,ydhV,2103,1433311,1435413,1434362,minus,NA,NA,NA,NA,NA,108.0767048,191191.4078,67.74371636,31.95611259,1021.193133,5,3,11,5,0,0,0.927,0.879,0.775193798,1.538461538,1.466197841,-0.691004043,0.166192576,-0.276782286,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.009678259,0.631806028,0.126961484,988.9377769,50.04515615,76.90748154,38.74684692,48.54434038,206.4162731,1155.033423,36.78266665,59.26564192,47.15925308,54.29470692,236.9480808,35.21009942,234.9329792,264.9139621
b1674,ydhY,627,1435434,1436060,1435747,minus,0.11174,0.033,0.2953,NA,NA,110.6658556,110195.0332,208.5802977,141.7851475,20103.02805,0,0,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.68624,0.8803,1.2828,0.009492133,0.568685349,0.267942584,2690.361154,47.37096962,102.2981538,61.69595923,72.21658846,532.6288769,2799.998231,106.0023508,58.85558192,44.70074154,67.98437269,624.8912923,38.80198077,584.428617,617.072095
b1675,ydhZ,210,1436515,1436724,1436619.5,minus,NA,NA,NA,4.933409668,0.130434783,294.270489,34738.24741,236.5541217,90.88061962,8259.287023,0,0,3,2,1,1,21.463,10.893,0.247831475,0.166666667,0.172634917,0.075196558,-0.762871361,0.157027823,41.85479495,451.2846231,468.7683104,578.5869613,2.762368642,-0.107918107,2,0.04052,0.0705,1.7404,0.0100526,0.668624424,0.338095238,1363.964819,256.4358692,802.3579923,159.3688138,205.5714385,758.4807154,967.5562769,329.0106038,528.1097385,156.8148669,157.1882235,524.4575731,341.8989538,591.0299414,443.8562138
b1676,pykF,1413,1437281,1438693,1437987,plus,NA,NA,NA,123.2987182,0.042553191,2306.816866,1950284.962,1153.288031,537.5624041,288973.3389,3,2,6,5,1,1,0.152,0.477,10.1010101,10.1010101,11.85405631,-1.753046209,1.073866986,-0.069502181,6969.705064,5228239.134,10909019.03,9264278.23,6.96681159,-0.248456146,2,0.0373,0.0239,0.6406,0.009528603,0.580709333,0.116772824,11455.89081,6838.840462,12436.97323,993.4762885,5965.940077,13873.25231,11818.70035,6320.080154,17552.62423,1637.036577,7954.730846,11349.33196,8111.508962,8594.062196,9438.750686
b1677,lpp,237,1439004,1439240,1439122,plus,1.40662,0.0003,0.0002,785.9003614,0.038461538,7055.365108,13149155.28,8323.84721,3761.577446,14149464.83,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,59961.46388,479591753.6,659214684.7,793357922.1,8.899469163,-0.218597456,2,0.34486,0.0282,0.0818,0.010451261,0.526442014,0.084388186,23793.47231,5124.405192,8886.502385,17698.47308,15724.12038,20379.55154,19481.075,3828.935308,5873.882846,13077.71012,16783.48923,21234.33808,10314.51335,15267.75415,13379.9051
b1678,ynhG,1005,1439304,1440308,1439806,minus,0.12349,0.0615,0.4981,NA,NA,461.5449495,590690.3814,814.7280569,1139.078892,1297500.721,1,1,2,2,0,0,3.653,2.22,0.34965035,0.314465409,0.345262454,0.004387896,-0.461850648,0.005484615,413.1969678,74985.75607,28077.07702,34864.16967,4.542379326,0.332599448,2,0.04087,0.0998,2.4423,NA,NA,NA,312.7069692,273.4950846,830.3657615,374.5124346,167.3549123,462.5458692,230.4680615,715.6358654,1186.851796,280.0857462,315.3638115,451.4888846,882.1141231,403.4968386,529.9823609
b1679,sufE,417,1440457,1440873,1440665,minus,0.09272,0.0536,0.5782,11.04817294,0.123188406,161.1697881,62009.30331,504.9378003,511.804331,261943.6727,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27.64586369,2116.290112,268.951284,345.2669947,2.538155065,0.787420138,2,0.05068,0.0757,1.4929,0.010180611,0.644777642,0.134292566,494.9203962,1490.725535,343.4260308,259.5329385,394.4614846,526.0188538,233.97955,4163.801962,417.8626692,302.28805,257.5149846,654.3297885,1977.163308,584.8475397,1004.962834
b1680,sufS,1221,1440886,1442106,1441496,minus,NA,NA,NA,9.050853403,0.128078818,295.4144441,118143.4492,350.8775699,367.1348694,134788.0118,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,424.9672283,62179.23841,42439.50116,37164.16707,4.570124404,0.223520995,2,0.04606,0.0764,1.658,0.009853771,0.632373103,0.14004914,301.7558923,994.4222423,272.5285115,193.0832731,282.1856462,296.2006462,134.4076438,2341.802423,289.5098692,201.1550154,174.6686038,335.4595808,1174.399838,390.0293686,579.5005227
b1681,sufD,1272,1442103,1443374,1442738.5,minus,0.10573,0.0441,0.4168,7.414614869,0.212765957,466.9660693,422008.7191,523.966926,503.6549628,253668.321,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,257.0034976,19851.22956,16716.31578,13147.48028,4.118842528,0.178944884,2,0.09191,0.1377,1.4982,0.009647863,0.610369972,0.127358491,471.9738654,2253.112308,506.4711577,285.4185231,322.2206423,433.8230231,242.5053231,5330.275615,645.3552731,355.1581769,168.1161462,747.9690346,2445.170885,712.1699199,1248.229928
b1682,sufC,747,1443349,1444095,1443722,minus,0.12249,0.0488,0.3982,9.310610862,0.076612903,477.1752481,391413.9339,497.7133396,470.1080242,221001.5535,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,663.9544584,203882.7662,72373.09465,78783.71137,4.896436436,0.412944081,2,0.03442,0.0396,1.1501,0.009598635,0.67869451,0.103078983,293.3869385,1384.509035,515.1169846,277.7477846,331.3417,264.2882192,155.4233692,2847.633846,762.7514846,271.9433538,138.8188415,441.1544731,1498.629023,511.0651103,769.6208947
b1683,sufB,1488,1444105,1445592,1444848.5,minus,0.14272,0.0783,0.5486,11.04817294,0.038383838,699.7798517,778565.1912,580.8167711,712.328774,507412.2812,1,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,348.6436884,19134.09088,19134.09088,23270.08248,4.366797923,-0.08499009,2,0.01192,0.0183,1.5366,0.009155564,0.638288739,0.102150538,409.0048923,2198.657846,806.7876346,532.0645385,463.2738154,368.5735,196.4765154,4890.2945,1265.750104,496.8522231,175.9086154,713.0219462,2270.907192,796.3937045,1289.717317
b1684,sufA,369,1445601,1445969,1445785,minus,0.07887,0.0278,0.3528,12.67190611,0.155737705,721.5203108,838379.8312,659.1199301,629.5305891,396308.7626,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,256.6828587,39140.35078,19851.22956,13122.70225,4.118023275,0.474601439,2,0.05813,0.0831,1.4302,0.010529236,0.619654442,0.127371274,426.4961,2932.936962,793.7669038,741.7944808,521.4939192,376.7029654,254.1346115,5638.643385,1444.198369,609.4309077,186.8810615,767.5517769,2620.108846,965.5318885,1483.473352
b1685,ydiH,270,1446517,1446786,1446651.5,minus,0.06581,0.016,0.243,6.5343793,0.096774194,1176.715624,2368234.246,557.0792957,882.596851,778977.203,0,0,0,0,0,0,253.529,106.8,0.17452007,0.194552529,0.153066313,0.021453757,-0.815120379,0.056965758,458.5712641,312092.1534,40213.09622,43696.21801,4.64044385,0.853839,2,0.03483,0.0643,1.8452,0.009450917,0.611363647,0.079365079,9773.851885,6932.163192,12560.48554,4468.033038,7234.252269,6912.749346,13324.54273,7834.023192,15885.64731,3656.699192,5280.094692,5217.636385,4624.322154,7980.255878,8533.10725
b1686,ydiI,411,1446805,1447215,1447010,minus,0.15029,0.0527,0.3504,NA,NA,518.5845132,92208.08381,251.2281589,146.6116079,21494.96355,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,230.5330219,6563.981232,12338.52105,11089.09158,4.04489597,-0.22772864,2,0.02437,0.0594,2.4359,NA,NA,NA,1903.466462,1696.055919,3596.812038,2141.411885,3123.095231,2680.803115,2091.328308,2198.657846,2703.563231,1918.955115,1617.377192,2716.014538,2125.728654,2523.607442,2207.649372
b1687,ydiJ,3057,1447212,1450268,1448740,minus,0.07071,0.0422,0.5968,8.250733818,0.111001965,508.376691,550165.7407,584.0797998,299.7608901,89856.59144,3,3,2,2,0,0,6.558,4.064,0.371747212,0.273972603,0.242297255,0.129449957,-0.615651505,0.185899225,204.7870182,6407.146695,11304.98524,9118.778537,3.959936668,-0.153272001,2,0.04494,0.0668,1.4854,0.008671306,0.647170982,0.095518482,2132.402423,1702.313885,3247.921654,2135.301308,3242.669462,3315.533923,2362.207,2255.858846,2690.361154,2132.402423,1490.725535,3265.631154,2384.865308,2629.357109,2366.197685
b1688,ydiK,1113,1450657,1451769,1451213,plus,NA,NA,NA,19.19528236,0.108108108,317.5233654,35844.35542,426.5954678,145.8964895,21285.78564,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04301,0.0641,1.4906,0.009986,0.617727858,0.139263252,464.7114308,597.1531154,537.8671423,504.4384231,593.6738192,599.5738269,414.7149192,655.6328615,586.2330692,417.2873115,456.9063731,658.8692231,497.8389962,549.5696263,531.6072929
b1689,ydiL,357,1452198,1452554,1452376,plus,NA,NA,NA,NA,NA,79.95052299,27750.11006,98.4124597,49.62434952,2462.576068,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.15188,0.2994,1.9713,0,0,0.294117647,71.75412385,44.59308154,49.42202077,12.64206327,37.38547385,68.07894577,48.33920038,12.92014569,87.17301154,25.1489945,57.17457769,99.98040769,80.07554846,47.31261817,55.12272292
b1690,ydiM,1215,1452654,1453868,1453261,plus,0.22303,0.0689,0.3089,NA,NA,44.12433752,39382.16279,52.0779394,12.79424872,163.6928001,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06213,0.1434,2.3083,0.009094177,0.554869853,0.286419753,21.24876427,23.38524581,14.88010335,15.40751388,18.44252446,11.29423692,12.97886312,12.47977342,36.99246592,16.36365769,25.76428677,14.543626,17.96819477,17.44306478,19.85377882
b1691,ydiN,1266,1454095,1455360,1454727.5,plus,0.11633,0.0349,0.3004,NA,NA,36.80197941,2268.213427,57.07124576,21.04895933,443.0586894,2,2,10,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0299,0.0811,2.712,0.009379996,0.672374151,0.214060032,25.68997562,22.74537265,13.03061712,15.02495665,17.461462,15.42430046,13.73228096,12.28576262,33.70726581,21.72400315,26.8640145,15.67437688,29.37868646,18.22944742,20.66461732
b1692,ydiB,867,1455372,1456238,1455805,plus,0.08117,0.0321,0.3958,2.614063815,0.090277778,139.1771077,194283.9404,100.987787,25.55747029,653.1842874,2,2,2,1,0,0,0.364,1.006,6.493506494,5.405405405,4.599802235,1.893704259,0.66273916,0.149740119,NA,NA,NA,NA,NA,NA,2,0.03003,0.0556,1.8503,0.009186099,0.641575721,0.15455594,41.17144731,40.24977231,24.93073823,44.59308154,39.76689154,25.76428677,36.36706731,28.21984131,49.67013192,38.46915131,51.00552962,48.73849308,49.59555577,36.07936962,42.07836909
b1693,aroD,759,1456269,1457027,1456648,plus,0.11436,0.0346,0.3021,7.414614869,0.198412698,298.9343136,30287.22898,275.5124362,110.6312832,12239.28082,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,594.9170782,65542.7447,67113.15003,66616.17982,4.823579724,-0.0070551,2,0.09477,0.1352,1.4268,0.009723318,0.652328726,0.147562582,543.2138462,341.8989538,293.0553,433.8230231,902.3287692,622.4555692,534.1322577,397.5482192,383.5350846,470.5611,494.0073385,886.9179269,622.4555692,522.7959103,527.7836545
b1694,ydiF,1596,1457170,1458765,1457967.5,plus,NA,NA,NA,1,0.067698259,174.1799999,318429.8417,135.059301,29.27387321,856.9596537,4,3,5,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.01903,0.0369,1.9413,0.009633221,0.602854885,0.25877193,33.49467738,32.99594215,34.52269569,48.95669115,50.13075846,37.25785269,32.20474181,32.52231404,34.63855612,36.36706731,37.53953654,35.27778623,59.52402923,39.55976959,34.75833367
b1695,ydiO,1152,1458779,1459930,1459354.5,plus,0.04476,0.0222,0.4961,1,0.046997389,NA,NA,108.5331207,28.07179397,788.0256168,2,2,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.01864,0.0238,1.2785,0.009394105,0.624282054,0.174479167,33.54119342,43.61121846,45.49940654,69.72104154,77.38995808,58.15952038,31.99203715,57.88596731,45.99624769,53.22113346,56.18802885,50.17802423,83.47415769,54.65372307,49.24357312
b1696,ydiP,912,1459973,1460884,1460428.5,minus,0.13314,0.0291,0.2185,3.462368956,0.199324324,128.2216284,7269.623266,38.24278022,9.084484224,82.52785354,1,1,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05243,0.1253,2.3895,0.009497069,0.651147768,0.1875,288.5855385,115.6289642,82.87149154,210.5562154,246.0961231,80.68894769,261.0916615,44.18482077,128.2444127,209.9319462,193.0832731,110.1821135,128.2444127,170.7378801,157.7863713
b1697,ydiQ,765,1461200,1461964,1461582,plus,0.42217,0.0766,0.1815,NA,NA,78.3539267,11286.91972,146.5480965,40.83983299,1667.891957,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.11255,0.1341,1.1917,0.010465952,0.693827334,0.155555556,53.35819308,39.45939308,50.43699731,28.39099785,49.91226,27.57869088,52.25779308,13.94510592,61.79141923,41.83941231,53.0468,40.03770577,42.70491485,41.52275537,43.81970605
b1698,ydiR,939,1461984,1462922,1462453,plus,0.22891,0.0645,0.2819,1,0.270096463,76.82901584,2456.262054,265.9808783,56.25572946,3164.707094,2,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.09824,0.2106,2.1435,0.009866805,0.644365115,0.103301384,60.35392115,52.01265692,59.43892115,50.87949962,74.88672231,62.13417231,67.54638192,44.91117692,74.11597654,56.00676885,78.97939385,62.61848346,59.10060962,59.95098224,64.02969692
b1699,ydiS,1290,1462978,1464267,1463622.5,plus,0.12635,0.0825,0.6528,NA,NA,48.67602158,5069.102208,198.4833626,33.57734115,1127.43784,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06501,0.1219,1.8748,0.010190016,0.657184047,0.094573643,70.04722808,74.22875,92.14949615,115.2964462,130.5200915,114.3102669,102.0032912,158.1350096,71.23777038,74.99850038,86.41986231,90.47637923,89.237045,99.42537981,97.21180218
b1700,ydiT,294,1464264,1464557,1464410.5,plus,0.08949,0.0638,0.7134,NA,NA,47.87807646,4392.148679,148.5592483,50.77584463,2578.186395,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.08273,0.1227,1.483,0.010507037,0.679960982,0.088435374,64.56348923,55.25760885,55.38511385,44.44018538,85.36597962,38.80198077,53.0468,37.25785269,70.74726038,48.09039423,86.28847962,40.60198192,51.46336154,57.30239295,56.00546147
b1701,fadK,1701,1464560,1466260,1465410,plus,0.10461,0.0766,0.7323,NA,NA,51.60044239,5288.767617,186.3591933,48.05324918,2309.114757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05833,0.1085,1.8599,NA,NA,0.17911354,63.13833462,77.11598731,58.49704962,46.77579308,99.08560577,38.034962,63.91554654,37.12404962,69.54403577,49.67013192,89.237045,50.62631077,56.08522269,63.77462206,60.01951994
b1702,ppsA,2379,1466317,1468695,1467506,minus,0.02629,0.0166,0.6309,7.414614869,0.03030303,1303.021555,1194588.441,641.5981968,404.8675741,163917.7522,NA,NA,NA,NA,NA,NA,115.188,44.06,0.145412244,0.162206002,0.140137811,0.005274433,-0.85344467,0.016045646,1990.241604,642203.4852,642203.4852,706586.7826,5.849165509,-0.041492851,2,0.0181,0.0153,0.8463,NA,NA,0.143337537,1322.648919,13324.54273,1863.889269,1977.163308,5747.585462,2105.553231,983.0872962,16173.15808,3199.613808,553.5500308,2535.048192,3546.125346,2700.583577,4390.230487,4498.430458
b1703,ppsR,834,1469028,1469861,1469444.5,plus,NA,NA,NA,8.787752366,0.028880866,601.1058284,133647.1183,431.8282881,180.6411242,32631.21583,NA,NA,NA,NA,NA,NA,18.364,7.2,0.15128593,0.188857413,0.178515257,-0.027229327,-0.74832466,-0.071876801,309.0468643,7126.87696,20207.03905,17916.0637,4.253242598,-0.400343337,2,0.0089,0.0168,1.8837,NA,NA,0.153477218,288.9420808,963.5223192,227.8918231,686.1587577,786.8101615,344.2402731,296.9324577,1058.433027,423.6378923,369.2375731,462.5458692,415.9650731,511.2617923,549.5942359,504.4586487
b1704,aroH,1047,1470018,1471064,1470541,plus,0.0627,0.0242,0.3866,21.74559465,0.091954023,588.5916084,205277.6603,271.980226,111.4531117,12421.79612,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,179.4487602,7332.922424,8630.355896,7287.557166,3.862581975,0.002695116,2,0.03701,0.0517,1.3963,0.003195809,0.145480586,0.105062082,1629.727462,3515.546923,2039.521231,1428.33245,3229.065654,1329.405423,1604.886385,1975.679423,2103.240192,786.8101615,2885.940538,1161.005362,1944.642269,2195.266524,1752.92701
